commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
e1b3153ed0abbb3479a8721acc38103a0a9010ec,2016-06-20 07:59:47+00:00,"['babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'react', 'react-dom', 'watchify']",[],,,"{'added': ['babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'react', 'react-dom', 'watchify'], 'removed': []}","{'added': [], 'removed': []}"
55f7efeb0dec12d912448fc5be4e1bd0105a5dcf,2016-07-28 03:57:40+00:00,"['babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'gulp', 'gulp-duration', 'gulp-sourcemaps', 'gulp-util', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream']",[],"['babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'react', 'react-dom', 'watchify']",[],"{'added': ['gulp-sourcemaps', 'vinyl-buffer', 'gulp-util', 'vinyl-source-stream', 'gulp', 'gulp-duration'], 'removed': ['watchify']}","{'added': [], 'removed': []}"
9ea3592aa7cef90e42ef8b8e70222631872460a2,2016-07-29 12:57:22+00:00,"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'gulp', 'gulp-duration', 'gulp-sourcemaps', 'gulp-util', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream', 'eslint', 'eslint-plugin-react', 'gulp-eslint']",[],"['babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'gulp', 'gulp-duration', 'gulp-sourcemaps', 'gulp-util', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream']",[],"{'added': ['babel-eslint', 'gulp-eslint', 'eslint', 'eslint-plugin-react'], 'removed': []}","{'added': [], 'removed': []}"
9aa717e90ae3902866deb24277f3575a9a118497,2018-03-24 19:59:34+00:00,"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream']",[],"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'gulp', 'gulp-duration', 'gulp-sourcemaps', 'gulp-util', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream', 'eslint', 'eslint-plugin-react', 'gulp-eslint']",[],"{'added': ['prop-types'], 'removed': []}","{'added': [], 'removed': []}"
24582eb0d23c9a1bf5938e22b98ad8bc02984d70,2018-03-25 13:32:20+00:00,"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream']",[],"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c10e913015caab9e6a6009c3cd4fc27d69dd62ee,2018-03-29 04:18:47+00:00,"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'react-redux', 'redux', 'vinyl-buffer', 'vinyl-source-stream']",[],"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'vinyl-buffer', 'vinyl-source-stream']",[],"{'added': ['redux', 'react-redux'], 'removed': []}","{'added': [], 'removed': []}"
c96043d628112d3078a99b09f75ca540ec53ca31,2018-04-01 16:07:12+00:00,"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-3', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'react-redux', 'redux', 'styled-components', 'vinyl-buffer', 'vinyl-source-stream']",[],"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'react-redux', 'redux', 'vinyl-buffer', 'vinyl-source-stream']",[],"{'added': ['babel-preset-stage-3', 'styled-components'], 'removed': []}","{'added': [], 'removed': []}"
3c2b468a4253db0708cc4245718bdcdeb9ac2b1a,2018-04-02 15:56:01+00:00,['gitbook'],[],"['babel-eslint', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-3', 'babelify', 'browserify', 'eslint', 'eslint-plugin-react', 'gulp', 'gulp-duration', 'gulp-eslint', 'gulp-sourcemaps', 'gulp-util', 'prop-types', 'react', 'react-dom', 'react-redux', 'redux', 'styled-components', 'vinyl-buffer', 'vinyl-source-stream']",[],"{'added': ['gitbook'], 'removed': ['prop-types', 'gulp-sourcemaps', 'react', 'browserify', 'babel-preset-es2015', 'gulp-eslint', 'babelify', 'babel-preset-react', 'react-dom', 'redux', 'gulp-duration', 'eslint-plugin-react', 'eslint', 'vinyl-buffer', 'babel-eslint', 'react-redux', 'styled-components', 'gulp-util', 'vinyl-source-stream', 'gulp', 'babel-preset-stage-3']}","{'added': [], 'removed': []}"
a56e8d6f5ce7e8df5e2e01cb7c556be0ee81e5b6,2018-04-03 08:34:42+00:00,"['gitbook', 'gitbook-cli']",[],['gitbook'],[],"{'added': ['gitbook-cli'], 'removed': []}","{'added': [], 'removed': []}"
2f9764862a9a135597e0a4b475038d7357ffe758,2018-04-03 08:38:25+00:00,"['gitbook', 'gitbook-cli']",[],"['gitbook', 'gitbook-cli']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fb0d0023b5de343466d117930a5e05ca01a7b284,2018-04-04 08:42:04+00:00,"['gitbook', 'gitbook-cli']",[],"['gitbook', 'gitbook-cli']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
