commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3e7d6ceeae078f42f932967686cf7ec5a4bf68fa,2019-02-18 16:51:01+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
021b4e47389201bf5cc5b797274f471ef69255b4,2019-02-18 17:08:21+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f6b74446c888f24303aff508ddcc78aec8c536eb,2019-02-19 11:22:17+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7e6b4fb92603804490fb69ef9a390011a1446d75,2019-02-19 11:37:17+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6c8a736d0df69818e041b4c18b92bf792c8c65f8,2019-02-27 09:04:59+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2c9beb7b2c0c63d4f545fe47f985385f1f607774,2019-03-11 11:52:23+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8a9e2993cfb53fbba10717b2409ce846108729a5,2019-03-19 09:30:04+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
79359d46e8d7b9352ead7521187edb190e76d54d,2019-03-19 09:33:17+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
90c9219e0b8b40e05cb9b4eacb0c15ffa2e4106e,2019-03-27 16:45:46+00:00,['react-beep'],[],[],[],"{'added': ['react-beep'], 'removed': []}","{'added': [], 'removed': []}"
a7d66843545f98a1f49c35de5773040c5b4df60f,2019-03-28 16:01:24+00:00,['jetemit'],[],['react-beep'],[],"{'added': ['jetemit'], 'removed': ['react-beep']}","{'added': [], 'removed': []}"
7e4610262c5ed2d0876fa5aeb187c5cd394dc22e,2019-03-28 16:14:32+00:00,['jetemit'],[],['jetemit'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c8e08133436a509969b54319fd5600b24098de9,2019-04-11 08:27:36+00:00,['jetemit'],[],['jetemit'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2d395c50e44fc8199aa89880950bfad02e9df13e,2019-08-12 09:25:22+00:00,[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']",['jetemit'],[],"{'added': [], 'removed': ['jetemit']}","{'added': ['@types/react', 'typescript', 'react', 'react-native', 'prettier', '@types/react-native', 'react-native-navigation'], 'removed': []}"
0f419511f9e03e9f6297dd3683d9da6c7b03d957,2019-08-12 09:33:40+00:00,[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']",[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2c921563384293582e8abc1745955407fb035667,2019-08-12 09:42:16+00:00,[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']",[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ad942d4d4c0895d84b099e266bd29d9ae97448cb,2019-08-12 09:44:25+00:00,[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']",[],"['@types/react', '@types/react-native', 'prettier', 'react', 'react-native', 'react-native-navigation', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
