commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
f2ed6e7bcc52224cf520eca26bf7b9aa7ced0d84,2021-03-28 20:17:30+00:00,[],"['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript'], 'removed': []}"
a376b741054014ef99fb025bf0e9302492ffbf5f,2021-03-30 00:49:20+00:00,"['@simonwep/pickr', '@types/chroma-js', 'chroma-js', 'rollup-plugin-css-only', 'yaml']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']",[],"['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': ['rollup-plugin-css-only', 'chroma-js', '@simonwep/pickr', '@types/chroma-js', 'yaml'], 'removed': []}","{'added': [], 'removed': []}"
8347d8797ce66839fa81235d5332455fc4bd3742,2021-03-31 17:08:48+00:00,"['@simonwep/pickr', '@types/chroma-js', 'chroma-js', 'dotenv', 'rollup-plugin-copy', 'rollup-plugin-css-only', 'yaml']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', 'chroma-js', 'rollup-plugin-css-only', 'yaml']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': ['rollup-plugin-copy', 'dotenv'], 'removed': []}","{'added': [], 'removed': []}"
444005953c815dce063a1a19f9e74861e7900246,2021-04-15 17:53:37+00:00,"['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', 'chroma-js', 'dotenv', 'rollup-plugin-copy', 'rollup-plugin-css-only', 'yaml']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': ['js-yaml', 'detect-indent', '@types/js-yaml'], 'removed': ['yaml']}","{'added': [], 'removed': []}"
b6a88413969cbc42897fa2e26901f318a6228e5f,2021-10-11 17:20:59+00:00,"['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
983c8efed8a1428a02b1ac896cf97e47d1caa144,2021-12-14 20:55:45+00:00,"['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
90d17ced5d8d6f8ac8618993429e4a5d6a19b4f8,2022-02-17 23:09:10+00:00,"['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7bc18f735acfac7c131a97c2c014509504be3d4c,2023-01-18 21:04:17+00:00,"['@popperjs/core', '@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'obsidian-svelte', 'rollup-plugin-copy', 'rollup-plugin-css-only', 'svelte-portal']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/node', 'obsidian', 'rollup', 'rollup-plugin-svelte', 'svelte', 'svelte-preprocess', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': ['@popperjs/core', 'svelte-portal', 'obsidian-svelte'], 'removed': []}","{'added': ['svelte-preprocess', '@tsconfig/svelte', 'svelte', 'rollup-plugin-svelte'], 'removed': []}"
5f1c0d84c70fd54b760113862c3f37b500fb2802,2023-01-18 21:40:27+00:00,"['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@popperjs/core', '@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'obsidian-svelte', 'rollup-plugin-copy', 'rollup-plugin-css-only', 'svelte-portal']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@tsconfig/svelte', '@types/node', 'obsidian', 'rollup', 'rollup-plugin-svelte', 'svelte', 'svelte-preprocess', 'tslib', 'typescript']","{'added': [], 'removed': ['@popperjs/core', 'svelte-portal', 'obsidian-svelte']}","{'added': [], 'removed': ['svelte-preprocess', '@tsconfig/svelte', 'svelte', 'rollup-plugin-svelte']}"
1f035920d79e99bc3d02290bcd1e871ae4ad345c,2023-01-19 14:29:49+00:00,"['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'fuzzysort', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","['@simonwep/pickr', '@types/chroma-js', '@types/js-yaml', 'chroma-js', 'detect-indent', 'dotenv', 'js-yaml', 'rollup-plugin-copy', 'rollup-plugin-css-only']","['@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@rollup/plugin-typescript', '@types/node', 'obsidian', 'rollup', 'tslib', 'typescript']","{'added': ['fuzzysort'], 'removed': []}","{'added': [], 'removed': []}"
