commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
67a53a27a457c8c6bf654d7ef7bbaaeebab28fa8,2015-12-10 17:45:09+00:00,"['@mozvr/aframe-core', 'babel-polyfill', 'react', 'react-dom', 'style-attr']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']",,,"{'added': ['@mozvr/aframe-core', 'babel-polyfill', 'react', 'react-dom', 'style-attr'], 'removed': []}","{'added': ['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server'], 'removed': []}"
b283fb674de05121158e05ed6bbfb661e5a19b16,2015-12-10 19:11:19+00:00,"['@mozvr/aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom', 'style-attr']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['@mozvr/aframe-core', 'babel-polyfill', 'react', 'react-dom', 'style-attr']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': ['aframe-react'], 'removed': []}","{'added': [], 'removed': []}"
d249bb22b9b79cf8c54d46323e26bd71c18c40d0,2015-12-17 07:07:17+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom', 'style-attr']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['@mozvr/aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom', 'style-attr']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': ['aframe-core'], 'removed': ['@mozvr/aframe-core']}","{'added': [], 'removed': []}"
7867435491d54a91a2fc288d7c594214229d9407,2015-12-17 18:41:40+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom', 'style-attr']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': ['style-attr']}","{'added': [], 'removed': []}"
ef7557fe2255d1f90b48b98f1db614abd8711585,2015-12-18 22:28:48+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': ['ghpages'], 'removed': []}"
f040e0492485df9532f6d84d3977f1f98dfe551a,2015-12-20 19:35:05+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fe849a5828e6c6211ca0339bacc7bcd70a1ea2cf,2015-12-21 19:57:01+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
642a0606745bf28e5ba63b0c24feb00e659ea086,2016-01-19 01:38:33+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ac0d052e68c575f534f1fa688a585a115a4c2167,2016-02-08 18:34:28+00:00,"['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
73cb62694a50946d09d3447fa78be80241efce36,2016-02-27 19:50:21+00:00,"['aframe', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","['aframe-core', 'aframe-react', 'babel-polyfill', 'react', 'react-dom']","['babel', 'babel-core', 'babel-loader', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'babel-runtime', 'css-loader', 'ghpages', 'json-loader', 'style-loader', 'webpack', 'webpack-dev-server']","{'added': ['aframe'], 'removed': ['aframe-core']}","{'added': [], 'removed': []}"
