commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
aeb87094ad475c7b3424260dc97a1618962febaa,2017-05-29 05:03:21+00:00,"['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-jasmine', 'karma-jasmine-html-reporter', 'karma-coverage-istanbul-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']",,,"{'added': ['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js'], 'removed': []}","{'added': ['@angular/cli', '@angular/compiler-cli', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-jasmine', 'karma-jasmine-html-reporter', 'karma-coverage-istanbul-reporter', 'protractor', 'ts-node', 'tslint', 'typescript'], 'removed': []}"
97f2c715e7e316b5f1ae2c52a6a51c3ff86a674c,2017-05-29 06:09:22+00:00,"['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-jasmine', 'karma-jasmine-html-reporter', 'karma-coverage-istanbul-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['@angularclass/hmr'], 'removed': []}"
2b05ae195c2585e17a85ff5512e6348d8b92f052,2017-06-01 12:00:53+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': ['@angular/animations', '@angular/material'], 'removed': []}","{'added': [], 'removed': []}"
4fb8d03c971ace5849f8a5731dd28a9e9451e1b0,2017-06-02 08:56:18+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': ['bootstrap'], 'removed': []}","{'added': [], 'removed': []}"
5cc58c350b80a7aa1372591338cddd1d76eb5d0e,2017-06-02 09:36:13+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c9627f11c9f97f81db57054f6a01217fc6a063fc,2017-06-02 10:35:57+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2f5800b4d8bdd27640942a5cc18b4ca7dd116c93,2017-06-02 13:44:55+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6d101355528ac86a60a9120104546f2eda322eeb,2017-06-02 13:55:49+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
eadac22cdc8c5d09d7c204f1788a38e61b64e189,2017-06-03 09:00:11+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'node-sass', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': ['node-sass'], 'removed': []}"
3512c61c777c5792ae78b6cbc48c8197cf422663,2017-06-09 11:05:54+00:00,"['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'node-sass', 'protractor', 'ts-node', 'tslint', 'typescript']","['@angular/animations', '@angular/common', '@angular/compiler', '@angular/core', '@angular/forms', '@angular/http', '@angular/material', '@angular/platform-browser', '@angular/platform-browser-dynamic', '@angular/router', 'bootstrap', 'core-js', 'rxjs', 'zone.js']","['@angular/cli', '@angular/compiler-cli', '@angularclass/hmr', '@types/jasmine', '@types/node', 'codelyzer', 'jasmine-core', 'jasmine-spec-reporter', 'karma', 'karma-chrome-launcher', 'karma-cli', 'karma-coverage-istanbul-reporter', 'karma-jasmine', 'karma-jasmine-html-reporter', 'node-sass', 'protractor', 'ts-node', 'tslint', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
