commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
8ee698a742bcc1baae9cc20c74f371aaa3d5d513,2021-03-06 14:54:29+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']",,,"{'added': ['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router'], 'removed': []}","{'added': ['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack'], 'removed': []}"
d179ec448198f07a23fa24464ba585149f00fc20,2021-03-06 18:54:07+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': ['js-cookie'], 'removed': []}","{'added': ['plop'], 'removed': []}"
728899acec3889d3d51300b2fe10fd2c82001c65,2021-03-07 16:56:36+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': ['vuex-module-decorators', 'vuex'], 'removed': []}","{'added': [], 'removed': []}"
f16d6c2132df93fcaee5939e1b3ab99da8c2e966,2021-03-18 16:55:52+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
72860cbd59e3bc5390aa6ded80f1e891a1415ed0,2021-03-19 16:22:02+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b2644aec022b8cde7c59f6bd749cd76b4dfd103b,2021-04-01 14:21:00+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': [], 'removed': []}","{'added': ['@types/shortid'], 'removed': []}"
03032567ae273248f5b5253a3359c82f051b002b,2021-04-07 16:59:47+00:00,"['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
97464acbd9e80f9249c7f35b09b36602e42f8643,2021-04-08 16:54:21+00:00,"['accounting', 'axios', 'core-js', 'crypto-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/crypto-js', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': ['crypto-js'], 'removed': []}","{'added': ['@types/crypto-js'], 'removed': []}"
c43ed6c243af8d6a3bb8e787bc3066d2f6eab878,2021-04-15 07:50:25+00:00,"['accounting', 'axios', 'core-js', 'crypto-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/crypto-js', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'crypto-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/crypto-js', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
10cc3731de65b90b40d9fc51e095a7b4acb64cd4,2021-04-28 10:28:22+00:00,"['accounting', 'axios', 'core-js', 'crypto-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/crypto-js', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","['accounting', 'axios', 'core-js', 'crypto-js', 'dayjs', 'echarts', 'element-plus', 'html2canvas', 'js-cookie', 'lodash', 'monaco-editor', 'particles.js', 'shortid', 'vue', 'vue-class-component', 'vue-router', 'vuex', 'vuex-module-decorators']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/cli', '@commitlint/config-conventional', '@types/crypto-js', '@types/lodash', '@types/shortid', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vue/babel-plugin-jsx', '@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-plugin-router', '@vue/cli-plugin-typescript', '@vue/cli-service', '@vue/compiler-sfc', '@vue/component-compiler-utils', 'babel-loader', 'babel-plugin-lodash', 'babel-plugin-module-resolver', 'babel-preset-vue', 'chalk', 'cp-cli', 'cross-env', 'cz-conventional-changelog', 'eslint', 'eslint-plugin-import', 'eslint-plugin-vue', 'husky', 'lint-staged', 'monaco-editor-webpack-plugin', 'plop', 'rimraf', 'sass', 'sass-loader', 'stylelint', 'stylelint-config-prettier', 'stylelint-config-standard', 'typescript', 'webpack']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
