commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
189b9728fd0e457524be1fde5b624480e5d45b1b,2018-03-22 02:11:39+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
59f1c102eced3b772efa566ae46f54a8cfb4759e,2018-03-27 23:12:56+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
581af820ad5bb6402251a0ebf9ee1603e9b8f987,2018-03-27 23:35:36+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
af268ea9fa226b721ca013f6a66373fdac2ff507,2018-03-28 00:10:55+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
20f3264b31cd67e14a13b7902e14bba332c1e310,2018-03-28 00:36:47+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
21325fd731e5cc76e2f77ac778e64bf094a66af7,2018-08-04 15:20:04+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6f888f1888915122ff6d80840941e1249b667e1a,2018-10-03 08:41:30+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ad144fae4755038ceb6c90bf2ace4e2df50c26d0,2018-11-27 14:18:57+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3f1b8d7cfe54b90fcd9fc2acd08cc6aec944a541,2019-01-22 23:48:46+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ab6a2edc2a508181749cd14443941e2f39567fb6,2019-01-22 23:54:23+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8ae542f362167abdb42144ebeab3eb6d3b9f65c5,2019-03-27 13:30:28+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cec76e391f84a1e49e526828ada7eb8f89b12a6e,2019-04-10 23:00:55+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
17fadb8c0e1d858fdb912dc575681ac827472e1f,2019-07-10 01:40:18+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ec86bf6502680425fe10794ad394d59160c96fb9,2019-07-26 20:19:31+00:00,[],['@types/react-navigation'],[],[],"{'added': [], 'removed': []}","{'added': ['@types/react-navigation'], 'removed': []}"
5c855271a41be6af1513b4c6ebdce930509cc95d,2019-07-26 20:37:48+00:00,[],['@types/react-navigation'],[],['@types/react-navigation'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
