commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
4b14fab5920e1e01cac842af8387e9705c84a1f8,2024-02-15 19:27:14+00:00,[],"['@types/chai', '@types/chai-as-promised', '@types/mocha', 'chai', 'chai-as-promised', 'mocha', 'ts-node', 'typescript', 'vite']",,,"{'added': [], 'removed': []}","{'added': ['@types/chai', '@types/chai-as-promised', '@types/mocha', 'chai', 'chai-as-promised', 'mocha', 'ts-node', 'typescript', 'vite'], 'removed': []}"
40a51556911bf54d3c677cb9e7ffdc589db841d2,2024-02-20 09:40:59+00:00,['@react-three/eslint-plugin'],"['@types/chai', '@types/chai-as-promised', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']",[],"['@types/chai', '@types/chai-as-promised', '@types/mocha', 'chai', 'chai-as-promised', 'mocha', 'ts-node', 'typescript', 'vite']","{'added': ['@react-three/eslint-plugin'], 'removed': []}","{'added': ['eslint-plugin-jest', 'eslint-import-resolver-alias', 'eslint-plugin-react', 'eslint', 'prettier', 'eslint-plugin-react-hooks', 'eslint-plugin-import', 'eslint-plugin-prettier', 'json', 'eslint-config-prettier', '@typescript-eslint/parser', '@typescript-eslint/eslint-plugin'], 'removed': []}"
6942e5e976bde58b4a1b6e51c8cf7eee79bdba53,2024-02-21 14:51:01+00:00,['@react-three/eslint-plugin'],"['@types/chai', '@types/chai-as-promised', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']",['@react-three/eslint-plugin'],"['@types/chai', '@types/chai-as-promised', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b8057f2a1df95d2e25ec266f58a5c67a3e000022,2024-02-24 08:19:31+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']",['@react-three/eslint-plugin'],"['@types/chai', '@types/chai-as-promised', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']","{'added': [], 'removed': ['@react-three/eslint-plugin']}","{'added': ['@types/react', '@react-three/eslint-plugin', '@types/react-dom', '@vitejs/plugin-react'], 'removed': []}"
1b76104b68dd6ebaa4167d308fa3703fd2616150,2024-03-06 16:25:58+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9f1149f2e7506ffd5589f990e1c9caa5435d8820,2024-03-25 20:55:32+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': ['@types/node'], 'removed': []}"
985cc40b2a94415d700fa40ffd6e243cdd692c19,2024-04-24 23:41:33+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite']","{'added': [], 'removed': []}","{'added': ['typescript-json-schema'], 'removed': []}"
73fc365eea449ebef3da6d3843646f0c0495a84e,2024-04-25 17:04:10+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d3c9d689141dac4e20f9da9b5362a016ba497112,2024-04-27 01:21:15+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3127ed246b36e80060fc28a34b8bb1b7cc5573f2,2024-04-27 09:16:08+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
204f9935eb9476a807f7b9b5743b4b7eeeb3d93d,2024-04-27 10:35:26+00:00,[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'typescript-json-schema', 'vite']",[],"['@react-three/eslint-plugin', '@types/chai', '@types/chai-as-promised', '@types/mocha', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'chai', 'chai-as-promised', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-alias', 'eslint-plugin-import', 'eslint-plugin-jest', 'eslint-plugin-prettier', 'eslint-plugin-react', 'eslint-plugin-react-hooks', 'json', 'mocha', 'prettier', 'ts-node', 'typescript', 'vite', 'typescript-json-schema']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
