commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
7ed3b293445a041f3836c1859eb047382b77c638,2020-01-17 18:58:32+00:00,"['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-scripts']",[],,,"{'added': ['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-scripts'], 'removed': []}","{'added': [], 'removed': []}"
c62c367fe0da6749d51e656a66ac99418ce6670e,2020-01-20 10:01:22+00:00,"['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-icons', 'react-scripts', 'react-split-pane', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired']","['@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'react', 'react-dom', 'react-scripts']",[],"{'added': ['react-color-picker', 'coloreact', 'react-split-pane', '@chakra-ui/core', 'react-dnd-html5-backend', 'emotion-theming', '@rehooks/local-storage', 'codesandbox', 'react-icons', 'prism-react-renderer', 'react-dnd', 'react-color', '@emotion/styled', 'lodash-es', 'lodash', '@reach/combobox', 'typescript', '@mdx-js/react', '@emotion/core'], 'removed': []}","{'added': ['@types/react-color', 'prettier', '@types/prettier', 'customize-cra', 'react-app-rewired', 'customize-cra-react-refresh', '@types/lodash'], 'removed': []}"
eaa3c6286b958acefec4e13f046cb0ce27a2955f,2020-01-29 15:17:04+00:00,"['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-icons', 'react-scripts', 'react-split-pane', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired', 'typedoc']","['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-icons', 'react-scripts', 'react-split-pane', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired']","{'added': [], 'removed': []}","{'added': ['typedoc'], 'removed': []}"
2d7715c4aab746acbee87958e621adcefee26613,2020-02-03 13:21:14+00:00,"['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@rematch/persist', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired', 'typedoc']","['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-icons', 'react-scripts', 'react-split-pane', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired', 'typedoc']","{'added': ['@rematch/persist', 'react-redux', '@rematch/core', 'react-hotkeys', 'redux'], 'removed': []}","{'added': ['@types/react-redux'], 'removed': []}"
4fefc893b97af24df6ba03560b15c97d121c0e1c,2020-02-04 12:53:35+00:00,"['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired', 'typedoc']","['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@rematch/persist', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired', 'typedoc']","{'added': ['redux-undo', 'redux-persist'], 'removed': ['@rematch/persist']}","{'added': [], 'removed': []}"
8e0704df613b238c4bd379028af5949b5be62304,2020-02-04 15:48:33+00:00,"['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'prettier', 'react-app-rewired', 'typedoc']","{'added': [], 'removed': []}","{'added': ['pretty-quick', 'husky', 'lint-staged'], 'removed': []}"
f96084aa28b9414b6c1f35fa18d81e4a858ec6dc,2020-02-06 15:58:10+00:00,"['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', '@types/jest', 'codesandbox', 'coloreact', 'copy-to-clipboard', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","['@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","{'added': ['copy-to-clipboard', '@bugsnag/plugin-react', '@bugsnag/js', '@types/jest'], 'removed': []}","{'added': [], 'removed': []}"
21ae2887ed396762cce89d710d115907c3685223,2020-02-06 18:14:51+00:00,"['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', '@types/jest', 'codesandbox', 'coloreact', 'copy-to-clipboard', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","{'added': [], 'removed': ['copy-to-clipboard', '@types/jest']}","{'added': [], 'removed': []}"
8ed144c665fcad9f42e4bd17b1c70036e0a94d04,2020-02-10 08:51:49+00:00,"['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', '@types/jest', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","{'added': ['@types/jest'], 'removed': []}","{'added': [], 'removed': []}"
c2da4efa29de7ac9350d96bc69f80707b07132cf,2020-02-10 13:10:15+00:00,"['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', '@types/jest', 'codesandbox', 'coloreact', 'copy-to-clipboard', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript', 'webpack-bundle-analyzer']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","['@bugsnag/js', '@bugsnag/plugin-react', '@chakra-ui/core', '@emotion/core', '@emotion/styled', '@mdx-js/react', '@reach/combobox', '@rehooks/local-storage', '@rematch/core', '@testing-library/jest-dom', '@testing-library/react', '@testing-library/user-event', '@types/jest', 'codesandbox', 'coloreact', 'emotion-theming', 'lodash', 'lodash-es', 'prism-react-renderer', 'react', 'react-color', 'react-color-picker', 'react-dnd', 'react-dnd-html5-backend', 'react-dom', 'react-hotkeys', 'react-icons', 'react-redux', 'react-scripts', 'react-split-pane', 'redux', 'redux-persist', 'redux-undo', 'typescript']","['@types/lodash', '@types/prettier', '@types/react-color', '@types/react-redux', 'customize-cra', 'customize-cra-react-refresh', 'husky', 'lint-staged', 'prettier', 'pretty-quick', 'react-app-rewired', 'typedoc']","{'added': ['copy-to-clipboard', 'webpack-bundle-analyzer'], 'removed': []}","{'added': [], 'removed': []}"
