commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
9fdf25f4d94407b1a885d8c517762520df14b9cf,2015-02-26 03:05:52+00:00,[],"['gulp', 'gulp-purescript', 'gulp-browserify', 'gulp-run', 'run-sequence', 'gulp-jsvalidate']",,,"{'added': [], 'removed': []}","{'added': ['gulp', 'gulp-purescript', 'gulp-browserify', 'gulp-run', 'run-sequence', 'gulp-jsvalidate'], 'removed': []}"
2249a3f485391f7d5eca62f5a16c0497e368db42,2015-03-11 19:36:33+00:00,[],"['change-case', 'gulp', 'gulp-browserify', 'gulp-jsvalidate', 'gulp-purescript', 'gulp-run', 'lodash', 'run-sequence']",[],"['gulp', 'gulp-purescript', 'gulp-browserify', 'gulp-run', 'run-sequence', 'gulp-jsvalidate']","{'added': [], 'removed': []}","{'added': ['change-case', 'lodash'], 'removed': []}"
16ce5d02e68ee468ef8137d51ba5ace71d7b4b7c,2015-03-29 18:18:16+00:00,[],"['change-case', 'gulp', 'gulp-browserify', 'gulp-jsvalidate', 'gulp-purescript', 'gulp-run', 'lodash', 'run-sequence', 'virtual-dom']",[],"['change-case', 'gulp', 'gulp-browserify', 'gulp-jsvalidate', 'gulp-purescript', 'gulp-run', 'lodash', 'run-sequence']","{'added': [], 'removed': []}","{'added': ['virtual-dom'], 'removed': []}"
0bd13fca519ba2039e4baf8c7c2d26aa22b0faf9,2015-04-14 23:52:47+00:00,[],"['change-case', 'gulp', 'gulp-browserify', 'gulp-jsvalidate', 'gulp-purescript', 'gulp-run', 'lodash', 'run-sequence', 'virtual-dom']",[],"['change-case', 'gulp', 'gulp-browserify', 'gulp-jsvalidate', 'gulp-purescript', 'gulp-run', 'lodash', 'run-sequence', 'virtual-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3c80ceeefcf386bef186625a1f141031024a7dfc,2015-06-23 23:24:22+00:00,['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']",[],"['change-case', 'gulp', 'gulp-browserify', 'gulp-jsvalidate', 'gulp-purescript', 'gulp-run', 'lodash', 'run-sequence', 'virtual-dom']","{'added': ['virtual-dom'], 'removed': []}","{'added': ['webpack-stream', 'gulp-jscs', 'rimraf', 'bower', 'purescript', 'gulp-jshint'], 'removed': ['gulp-jsvalidate', 'gulp-run', 'lodash', 'run-sequence', 'change-case', 'gulp-browserify', 'virtual-dom']}"
58b489dc2d7ecd7d02625cf9ffb725b9912f8cd0,2015-07-08 08:58:57+00:00,[],"['gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'rimraf', 'virtual-dom']",['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']","{'added': [], 'removed': ['virtual-dom']}","{'added': ['virtual-dom'], 'removed': ['bower', 'purescript', 'webpack-stream']}"
a5b8752347ca4240e946b17dc6990553e821301b,2015-08-28 00:45:26+00:00,['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']",[],"['gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'rimraf', 'virtual-dom']","{'added': ['virtual-dom'], 'removed': []}","{'added': ['bower', 'purescript', 'webpack-stream'], 'removed': ['virtual-dom']}"
5689b6a88362523889b1db62a0f0d9d2c0ff77b8,2015-09-02 14:15:16+00:00,['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']",['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0d46459fe795ea2fcf459736df852c6ce72534b7,2015-10-06 16:56:50+00:00,['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']",['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
025461a978a0229058c841caf179ede20f070c09,2015-10-13 21:02:58+00:00,['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']",['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
db61aa7ba2d6f438c8a30727514a3fd6954afc33,2015-10-17 16:10:43+00:00,['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']",['virtual-dom'],"['bower', 'gulp', 'gulp-jscs', 'gulp-jshint', 'gulp-purescript', 'purescript', 'rimraf', 'webpack-stream']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
