commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a4fe130cf274397811f0dae9725ccb03306bf6cc,2019-03-21 15:39:51+00:00,"['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@storybook/react', '@babel/core', 'babel-loader']",,,"{'added': ['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system'], 'removed': []}","{'added': ['@storybook/react', '@babel/core', 'babel-loader'], 'removed': []}"
f6ad81e26072570847610164f4d909331353e3af,2019-03-21 15:43:35+00:00,"['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@storybook/react', '@babel/core', 'babel-loader']","['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@storybook/react', '@babel/core', 'babel-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
91d05cf7cc38bcbd4a5a7d0c35fd3d5945144f20,2019-03-26 12:46:45+00:00,"['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@storybook/react', '@babel/core', 'babel-loader']","['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@storybook/react', '@babel/core', 'babel-loader']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
33e7d863150be0291d2b0a0ca5c0281c71696d08,2019-03-28 17:51:20+00:00,"['react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","['react', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@storybook/react', '@babel/core', 'babel-loader']","{'added': ['react-component-component'], 'removed': []}","{'added': [], 'removed': []}"
dbaccb80a0d94a1ae67ea8de933fc8a72479e6fb,2019-04-03 12:55:46+00:00,"['@reach/dialog', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","['react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","{'added': ['@reach/dialog'], 'removed': []}","{'added': [], 'removed': []}"
bfdeac84292198a554da02d86792a5fca76e6a34,2019-04-10 07:57:39+00:00,"['@reach/dialog', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","['@reach/dialog', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","{'added': ['polished'], 'removed': []}","{'added': [], 'removed': []}"
cfdbaf995327d4a278a3d477cc01788bad2f0792,2019-04-16 09:12:40+00:00,"['@reach/dialog', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","['@reach/dialog', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","{'added': ['lodash.omit', 'lodash.pick'], 'removed': []}","{'added': [], 'removed': []}"
aad5b3a6a16d387c651f87b211e1f3bef6f559e3,2019-04-17 11:05:14+00:00,"['@reach/dialog', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/addon-options', '@storybook/addons', '@storybook/react', '@types/node', '@types/react', '@types/react-dom', '@types/storybook__react', '@types/styled-components', '@types/styled-system', 'babel-loader', 'prettier', 'typescript']","['@reach/dialog', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/react', 'babel-loader']","{'added': [], 'removed': []}","{'added': ['@types/node', 'prettier', '@storybook/addons', '@types/react', '@types/storybook__react', 'typescript', '@types/react-dom', '@types/styled-system', '@storybook/addon-options', '@types/styled-components'], 'removed': []}"
cc21c34f79e997acad55f6548f134fb50a3cd910,2019-04-18 17:10:11+00:00,"['@reach/dialog', 'lodash.merge', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/addon-options', '@storybook/addons', '@storybook/react', '@types/node', '@types/react', '@types/react-dom', '@types/storybook__react', '@types/styled-components', '@types/styled-system', 'babel-loader', 'np', 'prettier', 'rollup', 'rollup-plugin-typescript2', 'typescript']","['@reach/dialog', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/addon-options', '@storybook/addons', '@storybook/react', '@types/node', '@types/react', '@types/react-dom', '@types/storybook__react', '@types/styled-components', '@types/styled-system', 'babel-loader', 'prettier', 'typescript']","{'added': ['lodash.merge'], 'removed': []}","{'added': ['rollup-plugin-typescript2', 'rollup', 'np'], 'removed': []}"
3a53886746d5b41260339cb6285483d818e31735,2019-04-22 08:58:24+00:00,"['@reach/dialog', 'lodash.merge', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/addon-options', '@storybook/addons', '@storybook/react', '@types/node', '@types/react', '@types/react-dom', '@types/storybook__react', '@types/styled-components', '@types/styled-system', 'babel-loader', 'np', 'prettier', 'rollup', 'rollup-plugin-typescript2', 'typescript']","['@reach/dialog', 'lodash.merge', 'lodash.omit', 'lodash.pick', 'polished', 'react', 'react-component-component', 'react-dom', 'react-scripts', 'styled-components', 'styled-system']","['@babel/core', '@storybook/addon-options', '@storybook/addons', '@storybook/react', '@types/node', '@types/react', '@types/react-dom', '@types/storybook__react', '@types/styled-components', '@types/styled-system', 'babel-loader', 'np', 'prettier', 'rollup', 'rollup-plugin-typescript2', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
