commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
a58a5e83802fa2b155e1e6ba06aaafbc9e4caab7,2018-05-31 23:59:01+00:00,[],"['react', 'react-reconciler', 'react-test-renderer']",,,"{'added': [], 'removed': []}","{'added': ['react', 'react-reconciler', 'react-test-renderer'], 'removed': []}"
9aa648f97c90ff2c13c18c871399abd214eaf815,2018-06-04 01:53:27+00:00,[],"['react', 'react-reconciler', 'react-test-renderer']",[],"['react', 'react-reconciler', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a350b2eff33d070751d3cb6c717d0a5697051f98,2018-06-04 03:29:27+00:00,[],"['react', 'react-reconciler', 'react-test-renderer']",[],"['react', 'react-reconciler', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c6ebfe961153d15f7f1b7a3c7cb7571c7d4582b,2018-06-05 15:34:25+00:00,[],"['react', 'react-reconciler', 'react-test-renderer']",[],"['react', 'react-reconciler', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cb8c9cd6f45e0ef396d0dacfd8b1d64f25f763e7,2018-06-13 03:29:01+00:00,[],"['react', 'react-reconciler', 'react-test-renderer', 'babel-jest', 'babel-preset-stage-2', 'jest']",[],"['react', 'react-reconciler', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': ['jest', 'babel-jest', 'babel-preset-stage-2'], 'removed': []}"
57313df8cb82762e6e509351b03999d535aaf886,2018-07-06 03:28:15+00:00,[],"['babel-jest', 'babel-preset-stage-2', 'chalk', 'glob', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer']",[],"['react', 'react-reconciler', 'react-test-renderer', 'babel-jest', 'babel-preset-stage-2', 'jest']","{'added': [], 'removed': []}","{'added': ['prettier', 'chalk', 'glob'], 'removed': []}"
fb2f5e62a738df07e83f847cd59e8d0ca79b6089,2018-07-06 03:56:55+00:00,[],"['babel-jest', 'babel-preset-stage-2', 'chalk', 'glob', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer']",[],"['babel-jest', 'babel-preset-stage-2', 'chalk', 'glob', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
43ff4d48752a34de1f6eb9df18f9b309eb88f289,2018-07-08 00:20:24+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'chalk', 'glob', 'google-closure-compiler', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-preset-stage-2', 'chalk', 'glob', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': ['rollup-plugin-strip-banner', 'rollup-plugin-babel', 'google-closure-compiler', 'rollup-plugin-replace', 'rollup-plugin-uglify', 'rollup-plugin-optimize-js', 'rollup-plugin-node-resolve', 'rollup-plugin-commonjs', 'rollup', 'tmp', 'babel-plugin-external-helpers'], 'removed': []}"
d77277021432e74dc5c296313399e11fcce156bd,2018-07-10 17:08:36+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'chalk', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'chalk', 'glob', 'google-closure-compiler', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': ['flow-bin', 'flow-typed'], 'removed': []}"
87d2492909bba3927a1fde1f1f239f6dc1cb2547,2018-07-18 01:59:56+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'chalk', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': ['canvas-prebuilt', 'jsdom'], 'removed': []}"
615d11ce2be9c6553bbbfc94ef9fcd43745dbecd,2018-07-22 03:48:57+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bcb2abf051806c40bce08ff865660fc7600c541d,2018-09-01 17:56:34+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': ['docusaurus'], 'removed': []}"
af737ecafafcdd36d733aa712ff32b0dc859526e,2018-09-01 18:11:31+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e355c470108dfb4bf5130cc09bc33f2176eab714,2018-09-03 00:15:58+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
21fa5e0c4ab6657a6c556cb733aadf6a7e79e78f,2018-10-29 00:05:17+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a502986d28198551968d8d7919f6dedf6b5a7e5c,2018-11-06 01:28:04+00:00,[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'lerna', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
e25693fac28ec3394ce84c74814d308438c14069,2019-02-07 01:41:56+00:00,[],"['@babel/core', '@babel/plugin-external-helpers', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-flow', '@babel/preset-react', 'babel-jest', 'babel-polyfill', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'lerna', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['babel-jest', 'babel-plugin-external-helpers', 'babel-preset-stage-2', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'prettier', 'lerna', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': ['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/core', '@babel/preset-react', 'babel-polyfill', '@babel/preset-flow', '@babel/plugin-external-helpers'], 'removed': ['babel-plugin-external-helpers', 'babel-preset-stage-2']}"
b65686b8fbea328e989e6eb4726a83541ccd2728,2019-02-07 22:00:15+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-flow', '@babel/preset-react', 'babel-jest', 'babel-polyfill', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'lerna', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']",[],"['@babel/core', '@babel/plugin-external-helpers', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-flow', '@babel/preset-react', 'babel-jest', 'babel-polyfill', 'canvas-prebuilt', 'chalk', 'docusaurus', 'flow-bin', 'flow-typed', 'glob', 'google-closure-compiler', 'jest', 'jsdom', 'lerna', 'prettier', 'react', 'react-reconciler', 'react-test-renderer', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-node-resolve', 'rollup-plugin-optimize-js', 'rollup-plugin-replace', 'rollup-plugin-strip-banner', 'rollup-plugin-uglify', 'tmp']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@babel/plugin-external-helpers']}"
