commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
4ba22da10f51ac44c4ab393c2b963e521bc302eb,2015-06-29 14:48:14+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0cace803968cf0f17807bcc83e5c8883067bbddd,2015-06-29 14:49:10+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
798c61f26126d8efdb5200020e08f30f2dc360fe,2015-06-29 21:25:36+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e0a5ff83697e797790f41adecb196dae1329b07c,2015-06-29 21:33:33+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b19e1dd1b1375d463fb6cd6d16ef9f51c2f0aa7e,2015-06-29 21:33:38+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c58ac4e642a01ef9adf2bc1f1bd7e3eb06c4677,2015-06-30 15:21:54+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4ee3744bfa7b8954cfdcb76459e0af9f2f271549,2015-07-02 00:33:17+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f7d8e25509079a4828f86bd826f6abd1fd6b9451,2015-07-13 20:25:42+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
50364f76266990dd590cab664c29970b90414d4d,2015-07-13 20:27:08+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ac2cf8be824d6de70dab40b47343127222abb7eb,2015-07-17 19:21:47+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fa41e9f0d11ffd02e66e0d0f25aa619056900973,2015-07-17 19:33:54+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ba05bf1389cc0b682e407f0996986c25e3601092,2015-07-21 16:35:03+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bc590e24691ae98d15fa5f89912939d512c91de5,2015-08-18 19:19:18+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
38b29690db41fcc53c1c3beffa4c56902782967e,2015-08-18 19:24:20+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
18a0a92c1826c85eda75b9539832d838aad909ce,2015-08-26 18:07:22+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4d4a5bb09129435330762bdade8fc518121a2693,2015-09-17 20:52:25+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6ba7dff75895d9101cd1a88e25f3c7ac84ecdd16,2015-09-18 13:51:07+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
82475f44ebd3b283cf6d23a072804b28caecb1b9,2015-09-21 17:45:00+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
35e23c3b05b1388881c6310a1c0c4c7641cee594,2015-09-21 18:05:46+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a8857943fc052f84bfb0826e3e1af7f699f438b8,2015-10-19 16:14:29+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
df31e3a1c517693a6477559a3662b8f687af6bbf,2015-10-28 14:58:32+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a47bb664fd49ed4fe8267ecf76b0175af0071592,2015-12-01 14:47:45+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
aa04d2eab531ba0bd9a3b3246817da2ef22bafea,2015-12-08 14:34:23+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5438f382262f2406add9b4a0711f32a71428f620,2015-12-30 15:05:14+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3574f23dfd5223f0bb6fb3fe6240406ff2580a08,2015-12-30 15:20:34+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
62048fc90974829feb6e105e0630ddbfab845528,2016-01-07 20:09:45+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cd0bf3eef9fce1de4e1983c7de90d394bb4ae3b5,2016-01-08 14:47:10+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5a138f05bf05e68b7858daae2b5e5a7608abee46,2016-01-08 16:36:30+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
703c35bb9d29e81a3d2c4b4bfb7898671e36dd17,2016-01-08 16:45:06+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
83b7cac19218c4ed0b79e5129356515f1c27a9cd,2016-01-08 16:46:47+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2a163b839b8bbd52621724dcae77536987ab0544,2016-01-09 00:24:57+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
50daf87109779e2d1b05e0f5c04437d427c6ed07,2016-01-11 16:05:47+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fc4f56f950cff345678bfc6569762e6978989c59,2016-01-14 19:05:41+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
28b67391e8fdfc0bb7c44a6a89f5f7c419f725c6,2016-01-18 22:52:51+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
85d8d72b9ea087788fbfe1e6871670ca0ea35a10,2016-01-26 11:26:42+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a0a047a78550e4dc31b3f3c161f47c5f2aae23ba,2016-01-29 22:34:16+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d713249a407af2e49d779b94ef421c3782b060e5,2016-01-30 20:46:03+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
376b90f3b8e06ccf90a3735967a7db77f725e44e,2016-01-30 20:58:10+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3b314be53107d79c14b06438b685e5fa110d9e2b,2016-02-04 11:31:14+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
27d44e4d762bf3208e74a107ed45b1d609c43c4f,2016-02-11 14:53:40+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3fa74ef81d69301113e9df5c0a04fb4d03c028e2,2016-02-11 14:53:49+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ec8752b7fee47f5bbcdd85e043f03940b4e5a84a,2016-02-11 14:54:21+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bd6c25cf9c37d219b0f9571e543484eb86850231,2016-02-11 17:38:07+00:00,[],['react-native'],[],[],"{'added': [], 'removed': []}","{'added': ['react-native'], 'removed': []}"
50b88d16c371f00ced831a432e014d57f3a4d957,2016-02-11 17:38:10+00:00,[],['react-native'],[],['react-native'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
40f541f62b8bc50ba87d7bbf18ced38fa12e3138,2016-02-11 17:45:53+00:00,[],['react-native'],[],['react-native'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cbedef54f3022b0358bd15c75c3295513cf8bf78,2016-02-15 15:26:41+00:00,[],['react-native'],[],['react-native'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
