commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
8b37953ae29ce7c2b063d7563773fd07c3de0072,2019-06-09 14:45:27+00:00,['core-js'],"['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'release-it', 'typescript']",,,"{'added': ['core-js'], 'removed': []}","{'added': ['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'release-it', 'typescript'], 'removed': []}"
df7606ce8dcb587605b97c1f41d572f6e46f84dc,2019-06-09 14:55:47+00:00,['core-js'],"['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'release-it', 'typescript']",['core-js'],"['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': ['parcel', 'react', '@types/react', '@types/react-dom', 'react-dom'], 'removed': []}"
9a5a5ba724b8c8738342d7456af95b52aa68387d,2019-06-09 17:37:23+00:00,"['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'release-it', 'typescript']",['core-js'],"['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'release-it', 'typescript']","{'added': ['shortid'], 'removed': []}","{'added': ['@types/shortid'], 'removed': []}"
084c0496d7d82dd606c897c4ea4458f8ba5140f9,2019-06-13 10:07:27+00:00,"['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': ['@babel/preset-react', 'react-test-renderer', 'react-native-testing-library'], 'removed': []}"
1c929a07df98af6c3bd960f0b2f3a611ce06903a,2019-07-16 10:28:15+00:00,"['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': ['@babel/plugin-proposal-class-properties'], 'removed': []}"
94edfeb3cc679658dcc3e9fe5f478355edc40b27,2019-07-23 20:51:39+00:00,"['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5d826a4a8f4c4f6f1b268fcacd118d879b1d3162,2019-07-23 21:16:52+00:00,"['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
de6f3611cab233992cae0ffa7f91ae49ffd956db,2019-08-01 22:40:57+00:00,[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']","['core-js', 'shortid']","['@babel/cli', '@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@commitlint/config-conventional', '@release-it/conventional-changelog', '@types/jest', '@types/react', '@types/react-dom', '@types/shortid', 'codecov', 'commitlint', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'parcel', 'prettier', 'react', 'react-dom', 'react-native-testing-library', 'react-test-renderer', 'release-it', 'typescript']","{'added': [], 'removed': ['shortid', 'core-js']}","{'added': ['@babel/runtime', 'core-js'], 'removed': ['react-native-testing-library', 'parcel', 'react-test-renderer', 'react', '@babel/cli', '@release-it/conventional-changelog', '@babel/core', '@types/react', '@types/react-dom', 'react-dom', 'release-it', '@types/shortid']}"
1df2e697af1b598074b329da8913d393987a9aa1,2019-08-03 18:05:10+00:00,[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']",[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8b3af7f8b3d07b5b2efd719e03e16e3a20af5771,2019-08-06 10:22:45+00:00,[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']",[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
72ac7937769163f3d7db79bc3eeb79dfa993c0d0,2019-08-18 17:58:52+00:00,[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'lerna', 'prettier', 'typescript']",[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
be56a0383575befdb5acdbbd782cfb59b626ba2a,2019-08-18 19:22:09+00:00,[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'prettier', 'typescript']",[],"['@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@babel/runtime', '@commitlint/config-conventional', '@types/jest', 'codecov', 'commitlint', 'core-js', 'del-cli', 'eslint', 'eslint-config-satya164', 'husky', 'jest', 'lerna', 'prettier', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': ['lerna']}"
