commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
02338e818c868d0e51e023780ae6908a42273f21,2017-08-25 01:31:03+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0c434c1875691ec76c760ccd896afada3d91a2f2,2017-08-27 17:08:27+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
33d3701876a6525326003ed27433cff9fe8d6598,2017-08-29 01:40:01+00:00,['react-native-platform-touchable'],[],[],[],"{'added': ['react-native-platform-touchable'], 'removed': []}","{'added': [], 'removed': []}"
8d1fbff3f5f494775150b3d37dfd94153f8f0b4f,2017-11-21 23:08:19+00:00,['react-native-platform-touchable'],[],['react-native-platform-touchable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
37292940969edb04221e82316d4a6ac3135cac7d,2018-06-15 22:47:20+00:00,['react-native-platform-touchable'],[],['react-native-platform-touchable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
36e531e2268d9d1aabce00544ce46bce875020e0,2018-06-15 23:37:04+00:00,['react-native-platform-touchable'],[],['react-native-platform-touchable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bb1ea3ff6c4a4908918899e9a591db115d32183e,2019-03-31 13:09:14+00:00,['react-native-platform-touchable'],[],['react-native-platform-touchable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c28aa737f096c72c54b35aab1a8c94404034d012,2019-03-31 13:52:32+00:00,['react-native-platform-touchable'],[],['react-native-platform-touchable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a9e647def8a58dc1aaf6f4a3193d2519a52df8dd,2019-03-31 13:56:13+00:00,['react-native-platform-touchable'],[],['react-native-platform-touchable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2661f48af1156728a337fe9d6e3863c81e3b0d50,2019-04-02 11:32:10+00:00,"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],['react-native-platform-touchable'],[],"{'added': ['react-native-iphone-x-helper'], 'removed': []}","{'added': [], 'removed': []}"
123dbcdef2db6ca16e7942baf185faf7d67ec041,2019-05-20 17:31:10+00:00,"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a134c5516e5d7cb0f52bfe886e662d0226fd7a38,2019-05-20 17:58:12+00:00,"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5886eb7cddeaaff01853e9bc15438273845465ff,2020-02-19 20:30:44+00:00,"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
27da4b4c4b8514c22827b952060ab62f90f8dd3f,2020-02-19 23:04:09+00:00,"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7558660a126bae2ee8cb120dbc70a8197c1b788e,2020-12-15 13:53:02+00:00,['react-native-iphone-x-helper'],[],"['react-native-iphone-x-helper', 'react-native-platform-touchable']",[],"{'added': [], 'removed': ['react-native-platform-touchable']}","{'added': [], 'removed': []}"
a76334981b2d05ace9399e03d4604210bb582700,2020-12-15 13:55:02+00:00,['react-native-iphone-x-helper'],[],['react-native-iphone-x-helper'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d9f78ec710378b5ae99dbbc7ed1d4a2e9a36322a,2021-02-24 05:53:19+00:00,[],['expo-yarn-workspaces'],['react-native-iphone-x-helper'],[],"{'added': [], 'removed': ['react-native-iphone-x-helper']}","{'added': ['expo-yarn-workspaces'], 'removed': []}"
