commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
f7296a15171fce811d6dc1329b10dff90e19ed0e,2015-02-11 02:50:42+00:00,[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'reactify', 'vinyl-transform']",,,"{'added': [], 'removed': []}","{'added': ['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'reactify', 'vinyl-transform'], 'removed': []}"
5115a9bde079bf799db64e9dd46cb2b5ee852de6,2015-02-11 05:17:33+00:00,[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'react-tools', 'reactify', 'through2', 'vinyl-source-stream', 'vinyl-transform']",[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'reactify', 'vinyl-transform']","{'added': [], 'removed': []}","{'added': ['react-tools', 'vinyl-source-stream', 'through2'], 'removed': []}"
63871041b710188e8401553eaec2d5ba6af492ee,2015-02-11 06:08:04+00:00,[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'react-tools', 'reactify', 'through2', 'vinyl-source-stream', 'vinyl-transform']",[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'react-tools', 'reactify', 'through2', 'vinyl-source-stream', 'vinyl-transform']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
530bf2a29105464b6df3a5448864f4807b63b654,2015-02-12 13:58:07+00:00,[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'react-tools', 'reactify', 'through2', 'vinyl-source-stream', 'vinyl-transform']",[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'react-tools', 'reactify', 'through2', 'vinyl-source-stream', 'vinyl-transform']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a98f0bac103e2e9d356646456dab22c3c1832292,2015-02-20 22:38:29+00:00,[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'watch', 'watchify']",[],"['brfs', 'browserify', 'gulp', 'gulp-rename', 'gulp-uglify', 'gulp-webserver', 'jsx-loader', 'lodash', 'node-jsx', 'react', 'react-tools', 'reactify', 'through2', 'vinyl-source-stream', 'vinyl-transform']","{'added': [], 'removed': []}","{'added': ['uglify', 'envify', 'parallelshell', 'watch', 'http-server', 'watchify'], 'removed': ['gulp-uglify', 'vinyl-transform', 'through2', 'vinyl-source-stream', 'gulp', 'gulp-webserver', 'gulp-rename']}"
a1e72b5d36ffa6d9f13e9cf02b345ac8d857a7f5,2015-02-20 22:38:54+00:00,[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'watch', 'watchify']",[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'watch', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
41de5f3a8c65e4a0baa63ce7431f73e23a3bcef8,2015-02-20 23:59:34+00:00,[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']",[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'watch', 'watchify']","{'added': [], 'removed': []}","{'added': ['uglifyify'], 'removed': []}"
5a816a51fb52da1590cdbd6e513a431c4bcab209,2015-02-21 16:35:41+00:00,[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']",[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bfd6d1b3aa831f1ca6f122f9d93701cbbbca801d,2015-02-21 16:36:49+00:00,[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']",[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1c1c00cbc359071d6232fa7df0a1e581cc6c1d15,2015-02-21 17:02:32+00:00,['fuzzy'],"['browserify', 'countries-in-the-world', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']",[],"['brfs', 'browserify', 'envify', 'http-server', 'jsx-loader', 'lodash', 'node-jsx', 'parallelshell', 'react', 'react-tools', 'reactify', 'uglify', 'uglifyify', 'watch', 'watchify']","{'added': ['fuzzy'], 'removed': []}","{'added': ['countries-in-the-world'], 'removed': ['brfs']}"
