commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
4ea09a09334333e77886fd5e74d1fdc21c6c2948,2021-12-20 18:08:29+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript'], 'removed': []}"
da4b8e648fc9cd6443688e0f75facc5f4b18ed44,2021-12-20 20:10:49+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d2813ff3975940b133b9ced2f03e44555fd11a67,2021-12-20 20:21:18+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
86813bd54c5a90a36389f8b0deb24aac59b62175,2021-12-21 10:59:49+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1af37fbf17ae68204bfd2c548b75d1503f3da64b,2021-12-21 19:01:05+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': ['framer-motion', '@chakra-ui/react', '@chakra-ui/icons', '@storybook/addon-storysource', 'react-icons'], 'removed': []}"
ce91ce565d049a4ea0476697142554777dd0bc7f,2021-12-21 19:06:07+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d8b5e8192243e326e14fcf1ac69bbbdb9f100c81,2021-12-21 23:46:32+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0b8ea203972203b6165b7b7ab41b3be502aa2127,2021-12-26 13:22:45+00:00,['turborepo'],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': ['turborepo'], 'removed': []}","{'added': [], 'removed': []}"
c2fe36a1f693bb7ae0fd18a362efa6ac984409c1,2021-12-28 13:05:26+00:00,['turborepo'],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']",['turborepo'],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3639b2db2f1434f6ee635bb184c1546efa24df24,2022-01-19 10:10:27+00:00,[],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'rimraf', 'storybook-addon-performance', 'turbo', 'typescript']",['turborepo'],"['@babel/core', '@babel/plugin-proposal-class-properties', '@babel/preset-env', '@babel/preset-react', '@babel/preset-typescript', '@chakra-ui/icons', '@chakra-ui/react', '@changesets/cli', '@emotion/react', '@emotion/styled', '@storybook/addon-a11y', '@storybook/addon-storysource', '@storybook/addon-toolbars', '@storybook/react', '@typescript-eslint/eslint-plugin', 'eslint', 'eslint-config-prettier', 'eslint-import-resolver-typescript', 'eslint-plugin-import', 'framer-motion', 'husky', 'lint-staged', 'microbundle', 'prettier', 'react', 'react-dom', 'react-icons', 'react-is', 'storybook-addon-performance', 'turbo', 'typescript']","{'added': [], 'removed': ['turborepo']}","{'added': ['rimraf'], 'removed': []}"
