commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
7ff870bbcf8171b336211ec3eb3ef2bfe59d1d7c,2017-02-27 19:56:10+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']",,,"{'added': ['classnames', 'glamor'], 'removed': []}","{'added': ['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer'], 'removed': []}"
7dc289f3dccba87aadfe367a9272703f308456d1,2017-05-17 04:39:44+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': ['prop-types'], 'removed': []}"
a0b0f043c92d88fba1f0a8e0f750611e39f785cf,2017-05-17 04:49:55+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6541d253592fdf4a42d18dceb40b0514aedc0c72,2017-05-19 04:41:09+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8443d684ec24b188c2919c360997c98950ec0830,2017-05-19 04:42:14+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1cf525f550fecb40481634d90992863fb2b46dbb,2017-05-20 02:09:38+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
458a2dfdc443099bb15bbc356ea8600ff5a5a179,2017-05-20 02:09:44+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c56d19134433b26b8429a8fe940cf8398ce91194,2017-07-14 22:39:38+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d442642da197b56c6580ebd2c080d1d53ac6354d,2017-07-14 22:42:46+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7b010d838782e9366463f1ffebdad41b45a345cb,2017-07-14 22:49:49+00:00,"['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","['classnames', 'glamor']","['@kadira/storybook', 'babel-cli', 'babel-core', 'babel-jest', 'babel-plugin-transform-runtime', 'babel-polyfill', 'babel-preset-es2015', 'babel-preset-react', 'babel-preset-stage-0', 'enzyme', 'jest', 'prop-types', 'react', 'react-addons-test-utils', 'react-dom', 'react-remarkable', 'react-test-renderer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
