commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
1c73a560d6318c0d0c658bd88b9d79c086f9d32e,2018-06-14 10:33:17+00:00,['react-native-animatable'],[],,,"{'added': ['react-native-animatable'], 'removed': []}","{'added': [], 'removed': []}"
d678633756af7313c89bde51065239d65f22fb9e,2018-06-14 13:50:03+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cf548e55a29d59c68cc5feed0df4bc663583af91,2018-06-15 14:01:36+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4efad4bdeea849993229ac17af5acc54dbca3278,2018-06-15 14:27:30+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0f177bee38aa99707ec8077e4aea0083da614935,2018-06-19 12:42:27+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d6821040579e5ba70c52c547f1d8200943708c38,2018-06-19 12:51:19+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
86d8fd4ff54231b5d64deb55708e9f74cddd5262,2018-06-19 13:15:01+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e9612fba51a55d9c740499a44fdd6223ce98fd32,2018-07-25 10:40:42+00:00,['react-native-animatable'],[],['react-native-animatable'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
102b6a9416d2d5da04b48293d252becf1b3bf3ca,2018-07-25 19:44:24+00:00,['react-native-animatable-promise'],[],['react-native-animatable'],[],"{'added': ['react-native-animatable-promise'], 'removed': ['react-native-animatable']}","{'added': [], 'removed': []}"
f10d8fdb31284113395c7ec9d73ec50ec00737ef,2018-07-26 13:46:44+00:00,['react-native-animatable-promise'],[],['react-native-animatable-promise'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
df0c02c16d70bfdfdcb7caba2f7050a524436c50,2018-07-26 13:56:02+00:00,['react-native-animatable-promise'],[],['react-native-animatable-promise'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
92dd9689a1db8773411d1655b16c3c5c72627503,2018-07-26 14:36:33+00:00,['react-native-animatable-promise'],[],['react-native-animatable-promise'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ddc07813c685297c5168c0d1bf4109e58ef82cec,2018-08-02 18:07:03+00:00,['react-native-animatable-promise'],[],['react-native-animatable-promise'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e362534eabc4d22b10f44daee3aca8e46d193733,2018-08-02 18:17:32+00:00,['react-native-animatable-promise'],[],['react-native-animatable-promise'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
db56b9895951ddf382663f64dd5b3cc139787284,2018-08-02 18:28:52+00:00,['react-native-animatable-promise'],[],['react-native-animatable-promise'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
