commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3bf45398c95af65901569f1644c19d332b04785e,2023-06-26 07:20:38+00:00,"['home-assistant-js-websocket', 'lodash', 'react', 'react-dom', 'zustand']","['@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'prettier', 'prop-types', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']",,,"{'added': ['home-assistant-js-websocket', 'lodash', 'react', 'react-dom', 'zustand'], 'removed': []}","{'added': ['@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'prettier', 'prop-types', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths'], 'removed': []}"
90688cc03badb1b81c0bd794c65c1c04c4c2ef25,2023-06-27 05:59:54+00:00,"['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['home-assistant-js-websocket', 'lodash', 'react', 'react-dom', 'zustand']","['@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'prettier', 'prop-types', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': ['use-debounce'], 'removed': ['lodash', 'home-assistant-js-websocket']}","{'added': ['react', 'home-assistant-js-websocket', '@mui/material', '@emotion/react', '@emotion/styled', 'react-dom'], 'removed': []}"
267b791b400dc7dfae2cea9fcc4beb428d42295e,2023-06-27 22:54:57+00:00,"['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
88acd0186e7f11a00e9cf64abdc9ed96ee8aa05a,2023-06-27 23:05:14+00:00,"['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
48214a9c3456e055ed189eeeccf7e93e61891a88,2023-06-27 23:13:23+00:00,"['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7a34c8c6e7823e2df8b97aa1aadbd964ba822f7f,2023-06-27 23:21:07+00:00,"['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
495fd3bdb6b77bcf58b96020ab1db9fe10cf6c17,2023-06-28 07:22:33+00:00,"['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': ['ts-node'], 'removed': []}"
eb33254cd9881b2044ab34941d0a4f1439a79dfd,2023-06-29 06:48:32+00:00,"['use-debounce', 'zustand']","['@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'type-fest', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['react', 'react-dom', 'use-debounce', 'zustand']","['@emotion/react', '@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': ['react-dom', 'react']}","{'added': ['type-fest'], 'removed': ['@emotion/react']}"
0cdfc0dce5e0bd4d3cf01e6d9f733f588da30920,2023-06-29 06:55:47+00:00,"['use-debounce', 'zustand']","['@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'type-fest', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['use-debounce', 'zustand']","['@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'type-fest', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
edd1ea13e00ea72235379a6363011e29c73c89de,2023-06-29 06:59:55+00:00,"['use-debounce', 'zustand']","['@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'type-fest', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","['use-debounce', 'zustand']","['@emotion/styled', '@mui/material', '@storybook/addon-essentials', '@storybook/addon-interactions', '@storybook/addon-links', '@storybook/blocks', '@storybook/builder-vite', '@storybook/react', '@storybook/react-vite', '@storybook/testing-library', '@types/lodash', '@types/node', '@types/react', '@types/react-dom', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-react', 'eslint', 'eslint-plugin-react-hooks', 'eslint-plugin-react-refresh', 'eslint-plugin-storybook', 'home-assistant-js-websocket', 'prettier', 'prop-types', 'react', 'react-dom', 'storybook', 'ts-node', 'type-fest', 'typescript', 'vite', 'vite-plugin-dts', 'vite-plugin-linter', 'vite-tsconfig-paths']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
