commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
0b867530385895ae69ef3dab4ae6074e97d25d5d,2020-07-15 21:30:37+00:00,"['@popperjs/core', '@sphinxxxx/color-conversion', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']",,,"{'added': ['@popperjs/core', '@sphinxxxx/color-conversion', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill'], 'removed': []}","{'added': ['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build'], 'removed': []}"
c5a6d7cf9b6a1814eb1e43b109dde0e54067ee86,2020-07-17 21:09:19+00:00,"['@popperjs/core', '@sphinxxxx/color-conversion', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@sphinxxxx/color-conversion', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7efdc1313cb4061a9b6358100946980d819d8cc6,2020-07-18 10:33:55+00:00,"['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@sphinxxxx/color-conversion', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': ['@sphinxxxx/color-conversion']}","{'added': [], 'removed': []}"
cfe70b8cfeacd347fbd38d0c697d3c79a622cc71,2020-07-18 11:00:28+00:00,"['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
124352df481429eae4209b269893a079f1726f56,2020-07-18 11:05:31+00:00,"['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fb99adc25e170ddfab2f2ea7bef492a4413d2d77,2020-07-19 15:35:42+00:00,"['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
45a38ea66fb8f9157497caf3b2b191563555d616,2020-07-20 20:36:12+00:00,"['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e1b0d67df53b5f2831502bdd4ea251200281e06d,2020-07-22 21:13:21+00:00,"['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
30c7424562ce589d8e2a7eb2de3156f0cccd06da,2020-07-23 12:36:06+00:00,"['@popperjs/core', 'color', 'resize-observer-polyfill']","['@stencil/core', '@stencil/eslint-plugin', '@stencil/sass', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', '@stencil/core', '@stencil/sass', 'color', 'resize-observer-polyfill']","['@stencil/eslint-plugin', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': ['@stencil/core', '@stencil/sass']}","{'added': ['@stencil/core', '@stencil/sass'], 'removed': []}"
a2906e9d6ad57681ba2654fe4b9c5e3b14479bd5,2020-07-23 12:37:44+00:00,"['@popperjs/core', 'color', 'resize-observer-polyfill']","['@stencil/core', '@stencil/eslint-plugin', '@stencil/sass', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', 'color', 'resize-observer-polyfill']","['@stencil/core', '@stencil/eslint-plugin', '@stencil/sass', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fc7b88a8d5d6699f0a8a2815790fb90ba1e1ca7a,2020-07-23 21:41:26+00:00,"['@popperjs/core', 'color', 'resize-observer-polyfill']","['@stencil/core', '@stencil/eslint-plugin', '@stencil/sass', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","['@popperjs/core', 'color', 'resize-observer-polyfill']","['@stencil/core', '@stencil/eslint-plugin', '@stencil/sass', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'bluebird', 'bootstrap-icons', 'browser-sync', 'chalk', 'concurrently', 'del', 'download', 'eslint', 'eslint-plugin-react', 'express', 'front-matter', 'glob', 'http-proxy', 'http-proxy-middleware', 'husky', 'prettier', 'recursive-copy', 'through2', 'workbox-build']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
