commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
0a99f2ed94e8b640f316b0fab484c0dea9d7cd44,2023-01-02 13:50:22+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d3e3d488555a90d22818b4b91a7c9ff735abff5a,2023-01-02 13:53:40+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
fc655df9e308b34ff4d20dc142264c60b00279fc,2023-01-02 14:01:01+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
25356990c26e3dbc89af6b9c292ef741108c3ddb,2023-01-02 14:31:13+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
28a208e72c26e9e6827d9c1ceb9f240cb18c61f6,2023-01-02 14:48:52+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dd75d2db92d12d6fb7c6cad022fa886e52d362dc,2023-01-02 14:49:30+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6fb4ba4c12288fe30a75bad2fe103212763ab1bb,2023-01-02 15:06:17+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1fe322382892c3cdfc1a1593ec462e75c308e758,2023-01-03 16:32:43+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d42457a24b442ead3e3950c4686bba7b43f92712,2023-01-04 07:13:08+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
30b3428a5123fdfb4eba37ae15b02103949217a5,2023-01-04 07:29:49+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2e5d112ee5127d103d20ace7600dda1d056730a1,2023-01-04 07:44:03+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a0346358b25220cc557eafbb834336ad799cbcd2,2023-01-04 07:54:22+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a1ba1ac5fb9d5f1b5894e22dc89062f6291c08aa,2023-01-04 08:18:28+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ec038d3a7eda7d429c2099fd8069fdb6a305d468,2023-04-24 06:58:14+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
97bc804e36a3e52f22fc2001f76b64afd9b5a0ac,2023-06-17 07:24:45+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c6f2070c6c43c320b82d89288bfbdd8c63e206a3,2023-06-20 07:44:48+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
