commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
1434bd237ae81a22a6b8717e261abb0bc34a7a11,2020-10-16 20:59:05+00:00,[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'typescript', 'ultra-runner']",,,"{'added': [], 'removed': []}","{'added': ['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'typescript', 'ultra-runner'], 'removed': []}"
e19c38e6dc247f7e1bdb76b632072b9e729e5b28,2020-10-17 19:18:51+00:00,[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'typescript', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': ['typescript']}"
bb2083f52ac5e0cb9134cf88514a6696774129ee,2020-12-08 19:59:38+00:00,[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6f786175ebddc0db1c7be9276561adfb9bd75edf,2020-12-08 21:48:46+00:00,[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
de8756be3af189bcb10ceb0f9bf53bad74f71479,2020-12-08 23:39:03+00:00,[],"['@zerollup/ts-transform-paths', 'ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['@zerollup/ts-transform-paths', 'ava', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
494cf2d0007ee5b044639fe766220eff21139629,2020-12-08 23:54:21+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['@zerollup/ts-transform-paths', 'ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@zerollup/ts-transform-paths']}"
e5fce108fef8a4870a94a97d0a941bc8599baba8,2020-12-08 23:56:40+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
465c6ec6003f108e170aa663b69639c0b9825555,2020-12-11 11:13:42+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4fa63e79b2cf7c994d9923c2c22d28b1a7285f80,2020-12-16 12:13:23+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c166aed9f42553b5bb47202fcb6ec679b1f36ae5,2020-12-17 05:16:08+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
63b91516035de7561655274dc5503414c80e6733,2020-12-17 06:08:43+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e2db746cbdb542af1b9ee5ea0f24a47c52373522,2020-12-17 20:10:28+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7075c68fdb6606e836a0b5907855f5c43e9f762a,2021-01-15 13:21:38+00:00,[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']",[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ce66efe4fb3ed08f92d11dd78ddb913cc798f14c,2021-03-08 21:32:27+00:00,"['prettier', 'prettier-plugin-import-sort', 'ultra-runner']",['lerna'],[],"['ava', 'lerna', 'prettier', 'prettier-plugin-import-sort', 'ts-node', 'ultra-runner']","{'added': ['prettier', 'prettier-plugin-import-sort', 'ultra-runner'], 'removed': []}","{'added': [], 'removed': ['prettier', 'ultra-runner', 'ava', 'prettier-plugin-import-sort', 'ts-node']}"
bc91bff67842f7121bf8945953fb622e957189f0,2021-03-11 09:14:03+00:00,"['prettier', 'prettier-plugin-import-sort', 'ultra-runner', 'esbuild-jest']",['lerna'],"['prettier', 'prettier-plugin-import-sort', 'ultra-runner']",['lerna'],"{'added': ['esbuild-jest'], 'removed': []}","{'added': [], 'removed': []}"
