commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
4ddc0f3ee50077e9de1aee70fd6dffaa790d4939,2019-06-04 13:08:38+00:00,[],['rimraf'],,,"{'added': [], 'removed': []}","{'added': ['rimraf'], 'removed': []}"
092b31b04c1bb9e5d72929eabcc2446df8d3f056,2019-06-07 10:22:07+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cf86c6296a6bc73cec1591cf14617a129a136514,2019-06-13 08:46:08+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f1431b50addf1b4b7d9847b223a76dc7b3b866ba,2019-06-13 09:33:14+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dce04a5b40861fd56ba36889a6bbcddab4f94770,2019-06-14 06:56:46+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1877551e863d739ce1a8a454b0e478a0ebd63b53,2019-06-18 08:59:34+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
25f44324e8c5cee4f3603919e85737aff9bc3fda,2019-06-18 09:32:16+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f2e9128de5f79d0638d15dcdcf779c7edbbeff23,2019-07-03 15:05:58+00:00,[],['rimraf'],[],['rimraf'],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
86b026cd093d01d3dcefdfe642ceec30ba099725,2019-11-21 12:17:33+00:00,[],"['husky', 'rimraf']",[],['rimraf'],"{'added': [], 'removed': []}","{'added': ['husky'], 'removed': []}"
601859e1352560e0b4f800d48755ef0925986aa9,2020-01-21 12:16:07+00:00,[],"['husky', 'rimraf']",[],"['husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
56f251904d412efc362fec2db21c5a19355e62c1,2020-03-16 14:52:57+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['husky', 'rimraf']","{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
d58f38cc6fad87c013e8e6074a7ff4992982e9a0,2020-03-25 12:50:17+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
594655789a738bdac268c8593133a67ba567a528,2020-04-17 11:38:55+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c33e4514fb840cc2e19e53dee1b17c30e27320ac,2020-04-23 19:43:48+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ff32fd6db73dc4ddef2fcb70c133fb25357b28a7,2020-04-23 23:08:57+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6828011fd4a0ad4d1e64e58acceaf31a08f638de,2020-04-23 23:18:09+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3a40df48192c2edeb40c99a64d6e5681987f7b4f,2020-04-24 00:41:16+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
da08e17c3b9c7503106ed7b23ce4290ccb0c2a46,2020-04-24 01:01:24+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c74fe2617d1a6ebc30844d5fa7911f2f3d0e50c,2020-04-29 14:01:02+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2cd2fb11d29d82640b244108c3ba75f77fca3f1b,2020-04-29 15:23:07+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
73cb33587c7f37cadf03e47898c4b89d7780816c,2020-05-12 04:04:17+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
23a1a9fcea9249dc7356bba88aa76f64b70a5119,2020-05-15 13:19:57+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f8dfb535bdd0be05c951819ad0a07fffb204a47d,2021-04-20 16:36:22+00:00,[],"['lerna', 'husky', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
265442c3a959d36767e439bea22bb3fc1015ef22,2021-04-26 14:44:53+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'rimraf']",[],"['lerna', 'husky', 'rimraf']","{'added': [], 'removed': []}","{'added': ['prettier', '@commitlint/config-conventional', '@commitlint/cli'], 'removed': []}"
cda4e4f6b0f4094dcde7656fa19abd83eeb166ec,2021-04-26 19:31:53+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'rimraf']","{'added': [], 'removed': []}","{'added': ['replace-in-file'], 'removed': []}"
9b0f47023c4de9a2affb63f686fb0e3c49c31d82,2021-07-02 07:05:49+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': ['basic-auth', 'tsscmp', 'serve-handler'], 'removed': []}"
e3ce9c9fd42f4aa30b0716040059bb4565c1529f,2021-07-23 08:21:09+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']","{'added': [], 'removed': []}","{'added': ['http-server'], 'removed': []}"
759754ef99d2345916cd9a907eee1d29918c4998,2021-10-20 13:21:31+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b7f580f8cf3097d645a394d55c61d3a7fc6265dd,2022-04-05 11:13:24+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
439886614d2bfc24a7bdafbc86abaadd99d22211,2022-04-05 11:33:17+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
86829766254437e80696ce3c6d218d0cbfb48a81,2022-06-23 08:56:39+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'basic-auth', 'http-server', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf', 'serve-handler', 'tsscmp']","{'added': [], 'removed': []}","{'added': [], 'removed': ['basic-auth', 'http-server', 'tsscmp', 'serve-handler']}"
56f0e2e424018ba4471f4cbd796eda60a57977d5,2022-06-23 14:22:09+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4c4bb07fd50f309f6418369203d4726d631a0d26,2022-10-05 10:13:10+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
20ce006a19f262d048e60cdd7f29434f20b29fbf,2023-04-12 09:52:02+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2f41b3022c3b212a4d680b8206cc9e6550322b50,2023-09-14 16:15:39+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e42c984ca509377a7a3c657245c8022b3d847cae,2023-11-03 13:13:00+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
034aebc9048e7f4b1748af1c3a41ba1f31f374dc,2024-02-16 09:14:31+00:00,[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']",[],"['@commitlint/cli', '@commitlint/config-conventional', 'husky', 'lerna', 'prettier', 'replace-in-file', 'rimraf']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
