commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
ac762b050dda48849f5ce94fde86cf26caf88b1e,2023-06-22 17:47:52+00:00,['@morev/vue-transitions'],['@iconify/vue'],,,"{'added': ['@morev/vue-transitions'], 'removed': []}","{'added': ['@iconify/vue'], 'removed': []}"
eee7accba1d348114793c03b8b3b2e36b6dc20bc,2023-06-23 08:53:32+00:00,[],[],['@morev/vue-transitions'],['@iconify/vue'],"{'added': [], 'removed': ['@morev/vue-transitions']}","{'added': [], 'removed': ['@iconify/vue']}"
3d962ca507aec22df0191600bd222e3eda279825,2023-06-23 14:20:44+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
541523101305c617895cc0c11394f3280a19ec4d,2023-06-27 20:44:53+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6e0d166d3268f1f82b7f4b5db1cbd65892a82ae4,2023-07-19 12:09:20+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
87ca501c6bcb7dc35c337cac6be24fb1e0c77235,2023-08-19 16:03:22+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'simple-git-hooks']",[],[],"{'added': [], 'removed': []}","{'added': ['@antfu/eslint-config', 'eslint', '@commitlint/config-conventional', 'lint-staged', 'simple-git-hooks', '@commitlint/cli'], 'removed': []}"
8898dc3ad47395de7d5a6d4d63e3674d0be85056,2023-08-19 16:27:37+00:00,[],[],[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'simple-git-hooks']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@antfu/eslint-config', 'eslint', '@commitlint/config-conventional', 'lint-staged', 'simple-git-hooks', '@commitlint/cli']}"
504fa0e2c90174b4989da151f23fcbe5087fe9b8,2023-08-21 06:02:30+00:00,[],"['@antfu/eslint-config', 'eslint', 'pnpm']",[],[],"{'added': [], 'removed': []}","{'added': ['@antfu/eslint-config', 'eslint', 'pnpm'], 'removed': []}"
3d07c9833ae5ca0e9d62ebe52e283507acab90d3,2023-08-21 06:20:02+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'simple-git-hooks', 'pnpm']",[],"['@antfu/eslint-config', 'eslint', 'pnpm']","{'added': [], 'removed': []}","{'added': ['simple-git-hooks', '@commitlint/config-conventional', '@commitlint/cli', 'lint-staged'], 'removed': []}"
3329ee678eab3ea8b6a0458d32dcbf5345249cc2,2023-08-22 01:19:13+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'simple-git-hooks', 'pnpm']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'simple-git-hooks', 'pnpm']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
