commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
f540d332fb1dabb12fa3a4087fd5fb7c857ba5d0,2023-08-23 05:49:04+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks']",,,"{'added': [], 'removed': []}","{'added': ['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks'], 'removed': []}"
37817baf275ff8b48a1aa1f6cba893596165e8d7,2023-08-23 08:15:10+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ee23efc3e91b022feac0b854a4ccb0ec0ceccfdc,2023-08-26 15:32:53+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks']","{'added': [], 'removed': []}","{'added': ['typescript', 'vitest', 'turbo'], 'removed': []}"
ea5c63a250a225a3f44ce72ecd3e191d8072ef90,2023-08-28 05:05:32+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dd48dd8132cf2625b57051e4953c02440d1f0163,2023-08-30 01:28:05+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
90e2e2f7c05ab0bb79b2001ee896b1f6f602cb15,2023-08-30 02:14:37+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0b952c02bd851e56076ab75d0c71030f743a3e13,2023-08-30 08:20:55+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
77b96ccbd752441aa9dba8f6ebf590908e6eae12,2023-09-04 14:36:40+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8ea7e586ddcdb132ade8adcd3b600be96bef98e8,2023-09-05 15:24:27+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
36716468d99406bad363a6d38962192c8f858d9f,2023-09-05 15:45:14+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
648b34f961116b76b7226e32c953ad95bbaf1db3,2023-09-06 02:12:44+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'turbo', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': ['turbo']}"
9399f6606a438c4f9e713ea09fa58b0fcffd0c30,2023-09-06 02:19:39+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bc545c95e455fb90dcb913fa3cb0903e709dbfcb,2023-09-06 02:59:42+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
57138b9641c3a14a59af390c99f5da51485e2c05,2023-09-15 15:18:45+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': ['taze'], 'removed': []}"
ad05aab3d267ef4c31d7335150907b24036ebbfd,2023-09-18 07:19:59+00:00,[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f4701c364254cc5d190ca19416dd381c64f40d79,2023-09-20 09:01:04+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",[],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': ['bumpp'], 'removed': []}","{'added': [], 'removed': []}"
5613a70b18b392d3a36f889ec155c6a245d4c390,2023-09-23 14:22:26+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2001d1be3f308227b557c1e9ed1cba03238ffc8a,2023-09-27 04:26:56+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
97a6369f2f28df810bc8f6855e540ed9f38e7c96,2023-09-28 09:35:35+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1d678d9564c3721405c213dbb3c50986de743db4,2023-10-02 02:14:53+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c2e6f1539fcceedd20c0343af7bd1565a4d7716,2023-10-02 09:02:36+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d03067db67e51b46a5f653f1d1ee270b9fa70535,2023-10-06 04:04:38+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
137ecb8d01a10a20e9612e9a5508ab207f78bef2,2023-10-06 05:27:13+00:00,['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']",['bumpp'],"['@antfu/eslint-config', '@commitlint/cli', '@commitlint/config-conventional', 'eslint', 'lint-staged', 'pnpm', 'simple-git-hooks', 'taze', 'typescript', 'vitest']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
