commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
6068c5d10c4f5a679d2967b13c9196cbfdb13724,2023-05-09 05:16:23+00:00,[],"['esbuild', 'terser', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['esbuild', 'terser', 'typescript'], 'removed': []}"
ddb5a01d87308841d1be3ca4d4506e5d1e8bfbae,2023-05-09 23:48:46+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0457470f8cfce1186531e52d1ff499fcca2a243d,2023-05-10 04:38:55+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3f98060971a8ff141179ef0fcd9f1b13b536a6f2,2023-05-22 23:44:07+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
377175ce1dd906f12fb5a2517afbd55fb3265584,2023-06-03 00:10:09+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2fe0982d8666952ff730a0e911b4af5a13af63de,2023-06-07 16:53:20+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f50ad3e33fabf3b90af757e14a5a493f1b91a4ba,2023-06-10 00:10:05+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ac324bb7ad80035f9a428d78243b16b5e760dab0,2023-06-10 23:31:36+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
85fb41b3593371a240de014a2d31906bd3a5e689,2023-06-16 05:42:58+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b257dc93393f58f75570daed295ff429fd3ff62b,2023-06-19 21:56:02+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
08a0727fe21ba1f8f661d453c3b3bcc173f79cad,2023-07-17 03:26:44+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4c3f97a52fa63cc414deeb001f6414a09dfd20bc,2023-07-26 23:51:12+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7debae91efb6ef301a42a5cf2aba90c70326e061,2023-07-27 04:18:41+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
53562e49c065372f27aa4f457da90d8ad08d99fe,2023-07-27 23:52:24+00:00,[],"['esbuild', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b5f6c1e20f410285c834ce12eb05c750085dc5fa,2023-07-28 23:01:25+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': ['node-jq'], 'removed': []}"
20979a596c3621d7618bc6109e5855b86aadab05,2023-07-28 23:11:20+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f1f357ad6e3405076de6487601aff258ce3102f6,2023-07-31 16:01:54+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5a1c46dc2c68151ed9f374d4cc6206ac92e80d2a,2023-08-06 21:53:50+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3ec3e7b1652cae93638d4e67f1e04bc8d0b4f63f,2023-08-10 00:02:05+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
74fa7710614278550c5798b7d8297b9e933af318,2023-08-14 08:00:54+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
739d04f4105cb9b07f27edd188789e0da3d52f9c,2023-08-17 17:29:43+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a5c0b80612cf3bf83fdda95ed5e65457c601bb41,2023-08-18 23:36:27+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3fb71b2bb4c364b8769fa1e7d7e720639f4a8296,2023-08-29 07:25:27+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f41559cc369c3fdb4cf74e785c6d406e3d7cac3c,2023-08-29 23:23:06+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b429b719e84eebe9f1404d5106a1725f3380935a,2023-08-31 17:37:03+00:00,[],"['esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8e2554ec89c78de5afe99cf5030c087c0c0d4a11,2023-08-31 17:45:11+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': ['all-contributors-cli'], 'removed': []}"
e2f01b9f672cc24c7f1761414db9b8a5e3ff96f7,2023-08-31 19:15:35+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0b266d54655151d8736d9c1619b03cad50a01152,2023-09-02 23:55:46+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1fe32ecff1e2e897801f7268e33fc71176d2ce40,2023-09-05 07:03:14+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2f79cb804824095aedf4ca3b98444928e20fb498,2023-09-07 22:54:10+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
51dea115e86f48b2f7792fffbaeef8954462c2c1,2023-09-17 07:04:57+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cbff73dbe39d6afb8c59738cdac2ea0cd6ce44de,2023-09-18 07:04:48+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e01d057e20190d310f9986af75a82d777d0bae49,2023-10-18 23:41:19+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dfa085ce9fac3619923314a4ff6fa15dcbe88d9f,2023-10-19 16:45:55+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
557d821094b7a3d15d3243643ff1b0d5985d00f0,2023-10-23 17:09:22+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3d227b564bebf570809b2d0321fdbf0925b62e3e,2023-10-26 07:19:37+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f58f23e2505277544f0050d8be9481ab9c4fd373,2023-11-01 16:13:20+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2704cb6daaf37879ab73540893e853bc77ae08a8,2023-12-14 05:56:26+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
36c128ee20e8eb2daf1e71e2b028da411dc2bac7,2024-01-23 23:02:11+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
93423e0553119a6d1d267a3bd12c40e80d528285,2024-02-26 17:27:12+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7cf30fdd749014008c66d0964cf659b16bcfd4de,2024-03-04 07:09:57+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3b476f76b54c0b14ec7eecea9117219217715b93,2024-03-06 06:26:10+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
076afb6a18314780754d2efb4c58996aa0e550ca,2024-03-08 16:52:21+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
82f5196aa22b1433b98e71f6d4046bdec8ab8235,2024-03-08 23:19:19+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
534d45fec93f24d7f9ebd6a5ac28622b9061b1ed,2024-03-10 20:00:48+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8195244dc56666c1afb9838938240ea43a9035ee,2024-03-12 16:09:43+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4dbfec73e08d8ecc89ac57b8ac3ce930bd29337e,2024-03-14 16:49:02+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
40234b5a3132a4911c4b746a2b383089a69902c1,2024-07-18 19:26:32+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b8df39a99f9200528796e2889363b9b6bf185d99,2024-08-19 21:06:00+00:00,[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']",[],"['all-contributors-cli', 'esbuild', 'node-jq', 'terser', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
