commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
8fd17725538838e1f66244eb10dd2aa99703f25d,2021-05-27 09:35:20+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']",,,"{'added': ['@popperjs/core', 'vue'], 'removed': []}","{'added': ['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html'], 'removed': []}"
82a3787a8f459e8534d1bdf35c77f8beb5224455,2021-05-27 09:59:12+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': ['jest', 'ts-jest'], 'removed': []}"
9f89390686f8eac476bd79b2d2d2afde8f1bfd5e,2021-05-27 10:02:03+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5738535dc5dc8fe695312cb22b047e56fe3a151f,2021-05-28 07:57:05+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a0e9ec03456bb058830ec819b482ca163b240514,2021-05-28 12:29:28+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2dcb1c407af0b9ef58ebd0dee6c86ab4776ceb4b,2021-05-28 12:36:43+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
07f91681c69a5888ab5644efc2160694920eedc1,2021-05-29 01:50:33+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
984f847fb565e961502e6a398832219cab29605a,2021-05-29 02:00:28+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
160f11a66573d3bef1b8ff725876090f92885403,2021-05-29 06:18:05+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
78fadc38c523429980f0bc81d7ffc1e525943107,2021-06-03 01:24:10+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7b1b5a874a8a8622e5bb229522d2a879d52ff06a,2021-06-05 02:48:06+00:00,"['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","['@popperjs/core', 'vue']","['@commitlint/cli', '@commitlint/config-conventional', '@rollup/plugin-eslint', '@rollup/plugin-replace', '@types/jest', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@vitejs/plugin-vue', '@vitejs/plugin-vue-jsx', '@vue/compiler-sfc', '@vue/eslint-config-standard', '@vue/eslint-config-typescript', '@vue/test-utils', 'chalk', 'commitizen', 'conventional-changelog-cli', 'cz-customizable', 'enquirer', 'eslint', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-vue', 'execa', 'fs-extra', 'husky', 'is-ci', 'jest', 'lint-staged', 'pinst', 'postcss', 'postcss-discard-duplicates', 'postcss-preset-env', 'prettier', 'rimraf', 'rollup', 'sass', 'semver', 'stylelint', 'stylelint-config-recess-order', 'stylelint-config-standard', 'stylelint-order', 'stylelint-prettier', 'stylelint-scss', 'ts-jest', 'ts-morph', 'typescript', 'vite', 'vite-plugin-html']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
