commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
fc9238467ab2cf3f90a7fa3526592d5bd4305f98,2021-01-26 01:58:56+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'lit-analyzer', 'npm-run-all', 'prettier', 'rimraf', 'sinon', 'typescript']",,,"{'added': ['@wcom/context', '@wcom/events', 'clsx', 'lit-element'], 'removed': []}","{'added': ['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'lit-analyzer', 'npm-run-all', 'prettier', 'rimraf', 'sinon', 'typescript'], 'removed': []}"
265b071ecfe1c05dea17eacc3001e0d7001db780,2021-01-26 02:01:51+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'lit-analyzer', 'npm-run-all', 'prettier', 'rimraf', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': ['pretty-quick', 'husky', 'lint-staged'], 'removed': []}"
5ed6f8443b1ed82f09577d030e7adf94449180f5,2021-01-26 03:12:06+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c7f809ec90de9634c621e00e799b52e39b4d556a,2021-01-26 03:15:40+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': ['semantic-release'], 'removed': []}"
1052f3062f3c27f97d53c15eafd17ebaaf944c64,2021-01-27 04:39:14+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3115d58faf1471d79c90c8d4ce94827efa81f513,2021-01-27 22:00:29+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6833f55ded56d94e6b36c025b1e0c0c4dabd0e62,2021-01-27 22:20:37+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9a744594e3705bd74959f73ef7cb001c012604d9,2021-01-27 22:23:13+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6e38efdf504792ad116814a3cc8738edc1d47c24,2021-01-27 22:37:53+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d9de7e91cd4894d67e9978ba604cc8b85081397b,2021-01-29 03:11:51+00:00,"['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","['@wcom/context', '@wcom/events', 'clsx', 'lit-element']","['@open-wc/testing', '@types/mocha', '@types/sinon', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-esbuild', '@web/test-runner', 'eslint', 'eslint-config-airbnb-typescript', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-wc', 'husky', 'lint-staged', 'lit-analyzer', 'npm-run-all', 'prettier', 'pretty-quick', 'rimraf', 'semantic-release', 'sinon', 'typescript']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
