commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
66309e63029db3fb72d38d66037b92ea890a3362,2018-03-16 19:30:00+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c6c56c3e6d784dbfe7ac947c7efc364255fe6132,2018-03-16 19:58:59+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9034145309c11e4eba00a2d749eb8f26f553d746,2018-03-16 22:33:48+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
789a318b14a32b0cec8377dc605d55204c9c8928,2018-03-17 10:24:03+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
606ee841c0630ba85a7a6443ef2b43a39acd0524,2018-06-15 13:24:46+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bb39eefd8cbd90a4bcfb77fab2a324e3dd64917f,2018-06-22 22:44:46+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8c8cd8f4d648b6903b54139707479a98404bfa21,2018-10-18 11:07:18+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c61d9aa9b115c3829d5b377a33073bc7f1d45911,2019-03-26 10:23:55+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c2f093f24dbdb7cde85b48676366ce36c89fd05a,2019-04-25 06:35:35+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e8f8cdccb34d9e90491a1a9fa9b5f8f4d7b06845,2019-05-09 17:15:00+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e3fef97276666ddc2a8fae94cf6f3082e65c659f,2019-05-09 17:15:23+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7a277f07220dd84aae569f167cd54a071e027aef,2020-02-02 19:16:20+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a5e2849e79ffbbc45282fd478ef3f0e8c6252119,2020-03-30 08:35:01+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ec435421e4ca94bae6b3efe8194701e09643c548,2020-03-30 08:39:10+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bbe6a1c0894f9198214f0c7e8a4e3543a0a4f6ad,2020-07-30 13:23:33+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
492b24b2981b4757d063183fa4ca71790b6ba6e0,2023-08-24 14:35:03+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
db9400e1dc0411f55817afe61d5269aa320efe8e,2023-08-24 14:36:36+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
