commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3401f6b460196ce254a73df05ce571802b365054,2018-09-19 15:35:38+00:00,[],"['chalk', 'dts-bundle', 'execa', 'fs-extra', 'lerna', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'typescript']",,,"{'added': [], 'removed': []}","{'added': ['chalk', 'dts-bundle', 'execa', 'fs-extra', 'lerna', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'typescript'], 'removed': []}"
c0d9f3ab1536857212474abac49ae62f2ab8473c,2018-09-19 15:37:18+00:00,[],"['chalk', 'dts-bundle', 'execa', 'fs-extra', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'typescript', 'yorkie']",[],"['chalk', 'dts-bundle', 'execa', 'fs-extra', 'lerna', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'typescript']","{'added': [], 'removed': []}","{'added': ['yorkie', 'lint-staged'], 'removed': []}"
d69d0c0216cad09adcb667750cb2ff895bb41a26,2018-09-19 19:36:56+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['chalk', 'dts-bundle', 'execa', 'fs-extra', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': ['jest', 'ts-jest', '@types/jest'], 'removed': []}"
26ff9b29f9f4772a409e7bb1393b6ced1347f009,2018-09-19 21:45:19+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
bb0e15de4da26b726eb017001630bcc1b8e356cb,2018-09-21 13:52:46+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
8817443545c314d24aca857a920f2d83bc2f860e,2018-10-02 21:51:05+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1fcde66308324de25b3400e94eef1932543b9677,2018-10-17 20:19:07+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e05673f4d3ff831f7851b314bd7f5ddcbfca9bc0,2018-10-26 19:44:50+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e665a133e99b32ed303d23172e1bbac99cd74ea1,2019-05-30 14:09:48+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
4e77c2df86f3c0b2ab469d229fce8692888c242b,2019-08-20 14:01:23+00:00,[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']",[],"['@types/jest', 'chalk', 'dts-bundle', 'execa', 'fs-extra', 'jest', 'lerna', 'lint-staged', 'minimist', 'prettier', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-replace', 'rollup-plugin-terser', 'rollup-plugin-typescript2', 'ts-jest', 'typescript', 'yorkie']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
