commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
b0dd8aff0f819997b59e4b7a3c6b2b6238bb5464,2018-02-20 18:02:07+00:00,"['material-design-icons', 'v-tooltip', 'vue', 'vue-router', 'vue-virtual-scroller', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'raw-loader', 'stylus', 'stylus-loader', 'vue-template-compiler']",,,"{'added': ['material-design-icons', 'v-tooltip', 'vue', 'vue-router', 'vue-virtual-scroller', 'vuex'], 'removed': []}","{'added': ['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'raw-loader', 'stylus', 'stylus-loader', 'vue-template-compiler'], 'removed': []}"
a652f24de3796fa8caf7eecaa734f86451afb5fc,2018-02-25 00:37:47+00:00,"['focus-visible', 'lodash.throttle', 'material-design-icons', 'v-tooltip', 'vue', 'vue-resize', 'vue-router', 'vue-virtual-scroller', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'postcss-focus-visible', 'raw-loader', 'stylus', 'stylus-loader', 'vue-template-compiler']","['material-design-icons', 'v-tooltip', 'vue', 'vue-router', 'vue-virtual-scroller', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'raw-loader', 'stylus', 'stylus-loader', 'vue-template-compiler']","{'added': ['lodash.throttle', 'vue-resize', 'focus-visible'], 'removed': []}","{'added': ['postcss-focus-visible'], 'removed': []}"
a97a57525de6bd284cda3dbc5457c9d746e092d1,2018-03-01 11:10:36+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'lodash.throttle', 'material-design-icons', 'v-tooltip', 'vue', 'vue-resize', 'vue-router', 'vue-virtual-scroller', 'vuex']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'postcss-focus-visible', 'raw-loader', 'stylus', 'stylus-loader', 'vue-template-compiler']","{'added': [], 'removed': ['vue-router', 'lodash.throttle', 'vue-virtual-scroller', 'vue', 'vuex']}","{'added': ['vue-router', 'rollup-plugin-eslint', 'vue', 'babel-core', 'cross-env', 'clean-css', 'rollup-plugin-babel', 'uglify-es', 'lodash.throttle', 'babel-eslint', 'rollup', 'babel-plugin-external-helpers', 'rollup-plugin-vue', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'babel-preset-stage-2', 'rollup-plugin-uglify', 'rollup-plugin-node-resolve', 'rollup-plugin-commonjs', 'babel-preset-env', 'vuex'], 'removed': []}"
1253d671ee16b75959a00db17fe5d50f59aa9a53,2018-03-01 11:24:22+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9b84c8dd0920f2691d3e8d9c21bad9880d2264eb,2018-03-01 11:26:16+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3dd24e3ee9f45673e36d416eb6be0f7ced096459,2018-03-02 12:18:09+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0f687d3d291244f27acb7708b81c11e84c5b1c83,2018-03-02 17:12:46+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
7e03e3be9dafacd102f9d63d6de28529d891791f,2018-03-02 17:59:35+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
0dff7ce6a60525a3de91b4ee3ab6d797257cbde9,2018-03-02 18:22:13+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5f2f2b86fbb4fa9249cb61a01137c088b7da0949,2018-03-02 18:37:05+00:00,"['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","['focus-visible', 'material-design-icons', 'v-tooltip', 'vue-resize']","['@vue/cli-plugin-babel', '@vue/cli-plugin-eslint', '@vue/cli-service', '@vue/eslint-config-standard', 'babel-core', 'babel-eslint', 'babel-plugin-external-helpers', 'babel-preset-env', 'babel-preset-stage-2', 'clean-css', 'cross-env', 'lodash.throttle', 'postcss-focus-visible', 'raw-loader', 'rollup', 'rollup-plugin-babel', 'rollup-plugin-commonjs', 'rollup-plugin-eslint', 'rollup-plugin-node-resolve', 'rollup-plugin-replace', 'rollup-plugin-require-context', 'rollup-plugin-string', 'rollup-plugin-uglify', 'rollup-plugin-vue', 'stylus', 'stylus-loader', 'uglify-es', 'vue', 'vue-router', 'vue-template-compiler', 'vuex']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
