commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
187ddf6642732a7623b18d47ae7131d786704bb4,2017-05-15 07:23:05+00:00,['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-style-loader', 'webpack', 'zlib']",,,"{'added': ['vue'], 'removed': []}","{'added': ['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-style-loader', 'webpack', 'zlib'], 'removed': []}"
151679a8ac20ffbe0aa17d8db3e989bcf9a51fc3,2017-05-15 07:53:25+00:00,['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-server', 'zlib']",['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-style-loader', 'webpack', 'zlib']","{'added': [], 'removed': []}","{'added': ['eslint-loader', 'webpack-dev-server', 'vue-loader'], 'removed': []}"
925f74a106331e910328544c4fdbf6884fb0d9c3,2017-05-15 08:06:12+00:00,['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-server', 'zlib']",['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-server', 'zlib']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d081a40fa607b5a37f183eca018cc72c2c7bff29,2017-05-16 00:46:13+00:00,['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-server', 'zlib']","{'added': [], 'removed': []}","{'added': ['express', 'webpack-hot-middleware', 'eventsource-polyfill', 'webpack-dev-middleware', 'connect-history-api-fallback'], 'removed': ['webpack-dev-server']}"
353c644ae4bd8815ed3e7bf6f90fe9d9b4494b76,2017-05-16 08:10:18+00:00,['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']","{'added': [], 'removed': []}","{'added': ['node-sass'], 'removed': []}"
cb82fecf076441455256ae810146d2e1e07f98ad,2017-05-16 08:26:20+00:00,['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2b5829614003751d1b37c31d53561f85427b6dde,2017-05-17 07:08:08+00:00,['vue'],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']","{'added': [], 'removed': []}","{'added': ['css-mqpacker', 'postcss', 'cssnano', 'autoprefixer'], 'removed': []}"
25592a4b8d9a8cc5aa3d6eb26320d3c3da01fea2,2017-05-18 04:44:18+00:00,['vue'],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'prepack', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']","{'added': [], 'removed': []}","{'added': [], 'removed': ['prepack']}"
07e9d07fbad7da687aa522d1d9e53137681c426c,2017-05-24 03:12:37+00:00,['vue'],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-espower', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']","{'added': [], 'removed': []}","{'added': ['babel-plugin-transform-runtime'], 'removed': ['babel-plugin-espower']}"
9152dfce92f1087ca45dad971f81bfd1b8271a75,2017-05-24 06:03:51+00:00,"['deepmerge', 'vue']","['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']",['vue'],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-es2015', 'babel-preset-stage-2', 'buble', 'chalk', 'connect-history-api-fallback', 'css-loader', 'css-mqpacker', 'cssnano', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'node-sass', 'optimize-js', 'ora', 'postcss', 'rollup', 'rollup-plugin-alias', 'rollup-plugin-buble', 'rollup-plugin-replace', 'rollup-plugin-vue', 'sass-loader', 'uglify-js', 'url-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'zlib']","{'added': ['deepmerge'], 'removed': []}","{'added': [], 'removed': []}"
