commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
315322a714a0328a5c98e04e015275c6ddb3c72c,2016-06-22 09:35:05+00:00,"['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-config-standard', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'lolex', 'mocha', 'chai', 'sinon', 'sinon-chai', 'inject-loader', 'isparta-loader', 'phantomjs-prebuilt', 'ora', 'shelljs', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']",,,"{'added': ['vue', 'babel-runtime'], 'removed': []}","{'added': ['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-config-standard', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'lolex', 'mocha', 'chai', 'sinon', 'sinon-chai', 'inject-loader', 'isparta-loader', 'phantomjs-prebuilt', 'ora', 'shelljs', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge'], 'removed': []}"
cc8bdbefdb43f41a7d5a6e6d87fc7467513b4967,2016-06-23 10:39:10+00:00,"['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-config-standard', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'lolex', 'mocha', 'chai', 'sinon', 'sinon-chai', 'inject-loader', 'isparta-loader', 'phantomjs-prebuilt', 'ora', 'shelljs', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['vue-router'], 'removed': []}"
274b74b68e2883b19215288380aa6afafaa66b84,2016-06-24 08:36:21+00:00,"['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['less-loader', 'less'], 'removed': []}"
eb93bfc50063d661faa8a0b40ad07118d686e15d,2016-07-08 03:48:46+00:00,"['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
463bf850c8c19e4025dbae01cfea42e32d11b6df,2016-07-31 07:26:05+00:00,"['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['fastclick'], 'removed': []}"
9d71114526057c7f4d0c8c9e87f10b980f7f5af1,2016-08-03 02:37:50+00:00,"['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
35cdd2ec07f64c227d146e2bdfb85270609eff8b,2016-08-08 13:22:06+00:00,"['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['vue', 'babel-runtime']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': ['moment'], 'removed': []}","{'added': [], 'removed': []}"
aa4defbcb0e85e4cb8076cc09e8c5bc7c0316964,2016-08-31 07:13:12+00:00,"['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
48ffd8cd2492d1b0b6e72c01b58f52d09f930eda,2016-09-01 06:45:08+00:00,"['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dc1c73b036560d53f6eab3b490d96413256da1d9,2016-09-12 07:20:58+00:00,"['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","['babel-runtime', 'moment', 'vue']","['babel-core', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-es2015', 'babel-preset-stage-2', 'chai', 'connect-history-api-fallback', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-promise', 'eslint-plugin-standard', 'eventsource-polyfill', 'express', 'extract-text-webpack-plugin', 'fastclick', 'file-loader', 'function-bind', 'html-webpack-plugin', 'http-proxy-middleware', 'inject-loader', 'isparta-loader', 'json-loader', 'karma', 'karma-coverage', 'karma-mocha', 'karma-phantomjs-launcher', 'karma-sinon-chai', 'karma-sourcemap-loader', 'karma-spec-reporter', 'karma-webpack', 'less', 'less-loader', 'lolex', 'mocha', 'ora', 'phantomjs-prebuilt', 'shelljs', 'sinon', 'sinon-chai', 'url-loader', 'vue-hot-reload-api', 'vue-html-loader', 'vue-loader', 'vue-router', 'vue-style-loader', 'webpack', 'webpack-dev-middleware', 'webpack-hot-middleware', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
