commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
3faaa08cad3749acd3f76579b5c5fd1f85b03a64,2016-03-11 13:45:08+00:00,['react-native-controllers'],[],,,"{'added': ['react-native-controllers'], 'removed': []}","{'added': [], 'removed': []}"
00ab1a99745d0324400fd6e9b8b3ddee91ab4d8a,2016-03-13 16:43:33+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2ff047d25a1bb9c56a067af86d25c1321ab952c0,2016-03-14 10:35:00+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5e74e133887048b78a0a33995dacc29d188c956e,2016-03-14 21:42:48+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
1641496c17aab655b12bbd96a06753d2b70c6a8f,2016-03-16 21:43:09+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
3ad6baaf58ddb53f47a9554ef934a17a36b1db4e,2016-03-16 22:53:10+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d71c80fee2aeaf53913b32624dceada6adf33c8a,2016-03-17 17:06:28+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a2d94dde9a71ea4e6d8069bcf1cf26203a958e69,2016-03-18 20:44:22+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
da726d33c037a02f041d2ab5e2fa32d5321df5af,2016-03-19 22:02:55+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
d3d043bfcc2d61c9e191f119a008b8c6d2ae3c5a,2016-03-20 09:58:37+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ea6b4b81d1193b8886e75065aa0e68122f86cf55,2016-03-21 21:18:02+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
016c6550323ca674f263e1a6e7e7cdd55ff6797c,2016-03-23 08:35:03+00:00,['react-native-controllers'],[],['react-native-controllers'],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
