commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
52dac28728bae8874209f06f45f2f2b5ca0694e2,2016-01-26 09:37:07+00:00,[],[],,,"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
c534a85473b2c8e4ae3582687f26ffecacf95253,2016-01-26 10:31:15+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
6027c01b4a496a3ffeda09246dbdefe835d8e09c,2016-01-26 23:03:51+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
58a6848f5250da139e76d44df6a9fd83afca147c,2016-01-31 12:51:50+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
cfda10e648db6825fbe166763936c74799e6a434,2016-02-12 10:36:39+00:00,[],[],[],[],"{'added': [], 'removed': []}","{'added': [], 'removed': []}"
f31b7c468efbc0aea3f8d4e59a43668248042639,2016-07-02 00:08:36+00:00,['requireindex'],"['eslint', 'mocha']",[],[],"{'added': ['requireindex'], 'removed': []}","{'added': ['eslint', 'mocha'], 'removed': []}"
de390087c72b92a27e2fb735c5a3d937bd4a501f,2016-07-02 02:32:33+00:00,['requireindex'],"['eslint', 'mocha']",['requireindex'],"['eslint', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
48193d68cdc89e2902de942cb4fa05a86f1da317,2016-07-02 10:44:25+00:00,['requireindex'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['requireindex'],"['eslint', 'mocha']","{'added': [], 'removed': []}","{'added': ['istanbul', 'coveralls'], 'removed': []}"
9ab3d9d28e20469e0a5484334a3a9f3380caecdc,2016-07-02 11:13:53+00:00,['requireindex'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['requireindex'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2933a1eab6c5dc55152a9e199b1c6a664256b655,2016-07-02 13:16:05+00:00,[],"['coveralls', 'eslint', 'istanbul', 'mocha']",['requireindex'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': ['requireindex']}","{'added': [], 'removed': []}"
eb8eb242e6cf19389d7f3ac5cf85834e7c18679d,2016-07-02 14:13:40+00:00,['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']",[],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': ['kebab-case'], 'removed': []}","{'added': [], 'removed': []}"
d31f62f737a23164cd0be0359c67ed308fa3aaed,2016-07-02 14:26:16+00:00,['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
ce5df657aacae049649be3f7ef954fbd8b5a6422,2016-07-23 10:45:08+00:00,['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
5308abcee0e769d4ed952fcfcec3c7617ccf4feb,2016-10-05 02:39:05+00:00,['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
79aa9b751f1d1285975a45127c1498af23f95494,2016-11-08 09:33:46+00:00,['camelcase'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': ['camelcase'], 'removed': ['kebab-case']}","{'added': [], 'removed': []}"
d6e3f3ba7f265332b93a373dc60c71fa3691b0e6,2016-11-08 09:48:47+00:00,['camelcase'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['camelcase'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
15f69b5a8b1734d04f0e51eebeca0ef7e148e1c2,2016-11-08 10:55:42+00:00,['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['camelcase'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': ['kebab-case'], 'removed': ['camelcase']}","{'added': [], 'removed': []}"
d55a681ffee549bc85dfa37f6c9d405c3f6f6fcb,2016-11-08 11:04:35+00:00,['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']",['kebab-case'],"['coveralls', 'eslint', 'istanbul', 'mocha']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
