commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
90945754b24b179b6fddc30c655153112557b0de,2017-01-12 02:36:13+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']",,,"{'added': [], 'removed': []}","{'added': ['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna'], 'removed': []}"
dc5c56054ee4a959056ff152b445d326e32212e1,2017-01-16 06:46:30+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
26d1fd366522fdfd56b4259e008027cd1db70bea,2017-01-24 03:23:33+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b8380376f2f620914affcbc70c87dc959a03425e,2017-02-04 13:11:40+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
68f44ba63033a44574942358f744d7823354b969,2017-02-07 07:17:59+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']",[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
b410c7c4c01d8f4529989ba4a20123db5cfc4786,2017-02-08 04:55:24+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
9ea2ed193e46cb7f29c7f5de04d7a6951bf7609b,2017-02-08 06:08:01+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom', 'lerna']","{'added': [], 'removed': []}","{'added': [], 'removed': ['lerna']}"
b626cfda8d4c770598156a5f9cd067acd3029044,2017-02-10 07:22:19+00:00,[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
e5117ed90cb8565a68364cb90042bd3afaba8748,2017-02-13 09:14:25+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
e8cf98d88372232505a9a18a9ecee0674286c943,2017-02-15 06:22:33+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
804d42ee30ea1b876d3bd03cab4165784e6c6789,2017-02-16 12:57:20+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
47e12179a94c2bf1ad1afcde9aa5c4f572d95979,2017-03-15 02:44:17+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
dabd239f924da89d816ebf1e3ecb9c865a352414,2017-03-28 03:08:07+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
263f20b27653e641c7d6ac158eacc8268835d62e,2017-04-10 11:23:52+00:00,[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']",[],"['enzyme', 'lerna', 'react', 'react-addons-test-utils', 'react-dom']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
