commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
7b7dc8cdbaffefcc4c886a29437e55b5a7108a35,2021-04-16 07:34:35+00:00,[],['lerna'],,,"{'added': [], 'removed': []}","{'added': ['lerna'], 'removed': []}"
c7911b88825bacdbaa5a30122fcab224fe114248,2021-04-17 04:41:20+00:00,[],"['@open-wc/eslint-config', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'cssnano', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'pinst', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],['lerna'],"{'added': [], 'removed': []}","{'added': ['lint-staged', '@open-wc/eslint-config', 'jquery', '@rollup/plugin-node-resolve', '@typescript-eslint/eslint-plugin', 'minify-html-literals', 'rimraf', 'mocha', 'less', 'cssnano', 'chai', 'stylelint-config-rational-order', 'rollup', 'postcss', 'concurrently', '@typescript-eslint/parser', '@types/mocha', 'rollup-plugin-terser', 'vite', '@rollup/plugin-alias', 'stylelint-config-standard', 'eslint-plugin-import', 'eslint-plugin-prettier', 'web-component-analyzer', 'eslint-config-prettier', 'autoprefixer', 'stylelint', '@types/chai', 'eslint', 'pinst', 'rollup-plugin-copy', 'prettier', 'husky', 'node-watch', 'typescript', 'npm-run-all'], 'removed': []}"
ea6ce74be331faaf84fcbc9f77dc7e165f2542db,2021-04-21 08:07:16+00:00,[],"['@material-icons/svg', '@open-wc/eslint-config', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'cssnano', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'pinst', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@open-wc/eslint-config', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'cssnano', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'pinst', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': ['@material-icons/svg'], 'removed': []}"
14aca1499e6c67c66d56e8e5ae430404b06e12e7,2021-04-21 15:31:01+00:00,[],"['@material-icons/svg', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'cssnano', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@material-icons/svg', '@open-wc/eslint-config', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'cssnano', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'pinst', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': [], 'removed': ['@open-wc/eslint-config', 'pinst']}"
2482253aacedcb328d741ed79df013d496e451b9,2021-04-27 09:48:16+00:00,[],"['@material-icons/svg', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@material-icons/svg', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'cssnano', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': ['eslint-plugin-lit', 'rollup-plugin-visualizer'], 'removed': ['cssnano']}"
2efbcbd086ed1965a277c5e86dccf14927e42764,2021-05-12 15:57:44+00:00,[],"['@material-icons/svg', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@material-icons/svg', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': ['clean-css'], 'removed': []}"
e5faad07cfef5893bef257737c0d8968ef08f9ae,2021-05-17 08:03:45+00:00,[],"['@material-icons/svg', '@open-wc/testing', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@material-icons/svg', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@types/chai', '@types/mocha', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'chai', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'mocha', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': ['@open-wc/testing'], 'removed': ['chai', '@types/mocha', 'mocha', '@types/chai']}"
2b5b35c07eccc87d270208bac3eb8459f90df1cb,2021-06-22 15:48:49+00:00,[],"['@material-icons/svg', '@open-wc/testing', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@types/jquery', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-rollup', '@web/test-runner', '@web/test-runner-commands', '@web/test-runner-playwright', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'pretender', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@material-icons/svg', '@open-wc/testing', '@rollup/plugin-alias', '@rollup/plugin-node-resolve', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': ['@rollup/plugin-commonjs', '@web/dev-server-rollup', '@types/jquery', '@web/test-runner', '@web/test-runner-commands', 'pretender', '@web/test-runner-playwright'], 'removed': []}"
b45c89b4d88f952c112b94792a9b33624f80426c,2021-12-09 15:03:21+00:00,[],"['@material-icons/svg', '@open-wc/testing', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@types/jquery', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-rollup', '@web/test-runner', '@web/test-runner-commands', '@web/test-runner-playwright', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'pretender', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']",[],"['@material-icons/svg', '@open-wc/testing', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@types/jquery', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-rollup', '@web/test-runner', '@web/test-runner-commands', '@web/test-runner-playwright', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'pretender', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
91572dd8e86a6ed8789776275b1745d6d117666b,2021-12-10 01:09:14+00:00,[],"['@material-design-icons/svg', '@open-wc/testing', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@types/jquery', '@types/vfile-message', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-rollup', '@web/test-runner', '@web/test-runner-playwright', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'jquery', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'postcss-less', 'pretender', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer', 'yorkie']",[],"['@material-icons/svg', '@open-wc/testing', '@rollup/plugin-alias', '@rollup/plugin-commonjs', '@rollup/plugin-node-resolve', '@types/jquery', '@typescript-eslint/eslint-plugin', '@typescript-eslint/parser', '@web/dev-server-rollup', '@web/test-runner', '@web/test-runner-commands', '@web/test-runner-playwright', 'autoprefixer', 'clean-css', 'concurrently', 'eslint', 'eslint-config-prettier', 'eslint-plugin-import', 'eslint-plugin-lit', 'eslint-plugin-prettier', 'husky', 'jquery', 'lerna', 'less', 'lint-staged', 'minify-html-literals', 'node-watch', 'npm-run-all', 'postcss', 'pretender', 'prettier', 'rimraf', 'rollup', 'rollup-plugin-copy', 'rollup-plugin-terser', 'rollup-plugin-visualizer', 'stylelint', 'stylelint-config-rational-order', 'stylelint-config-standard', 'typescript', 'vite', 'web-component-analyzer']","{'added': [], 'removed': []}","{'added': ['yorkie', '@types/vfile-message', '@material-design-icons/svg', 'postcss-less'], 'removed': ['rollup-plugin-copy', 'lerna', '@rollup/plugin-alias', 'husky', '@material-icons/svg', '@web/test-runner-commands']}"
