commit,date,dependencies,dev_dependencies,prev_dependencies,prev_dev_dependencies,dependencies_changes,dev_dependencies_changes
666f71de1cd8e5b7dcdc5d786ba14d62c6335ea1,2017-09-07 11:47:58+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",,,"{'added': [], 'removed': []}","{'added': ['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge'], 'removed': []}"
a4f51a77d4b2e2c39c609b56ec02478eea4dfe5f,2017-09-11 06:35:28+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['style-loader'], 'removed': []}"
62555d8b1a2265311b9ff63258a8ffca2d7d337a,2017-09-13 14:30:36+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['chalk'], 'removed': []}"
03c40c939bc3c3fc20d8e5da3896b4372269755a,2017-09-14 06:57:07+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
2205113c3fbeb088a27545cdc5ba65e7928657be,2017-09-16 09:51:48+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['marked'], 'removed': []}"
b06a57871f385796752ef51c648d1c12572cd77d,2017-09-16 11:03:18+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
a0015cdbd8c23babbf9ee427bc8d85234e19d2db,2017-09-16 14:04:12+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['highlight.js'], 'removed': []}"
3d988e7c4d17de7bfa7231a516aa6791edb8d894,2017-09-21 09:31:06+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'extract-text-webpack-plugin', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': ['extract-text-webpack-plugin'], 'removed': []}"
70db6c2d99c7bcfc5fec00827035b7bf3c4697da,2017-09-22 06:05:54+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'extract-text-webpack-plugin', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'extract-text-webpack-plugin', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
88d1ceb8b64ea54af9920b465772765a40271900,2017-09-22 07:19:25+00:00,[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'extract-text-webpack-plugin', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']",[],"['autoprefixer', 'babel-core', 'babel-eslint', 'babel-loader', 'babel-plugin-transform-runtime', 'babel-preset-env', 'babel-preset-stage-2', 'babel-register', 'chalk', 'cross-env', 'css-loader', 'eslint', 'eslint-config-standard', 'eslint-friendly-formatter', 'eslint-loader', 'eslint-plugin-html', 'eslint-plugin-import', 'eslint-plugin-node', 'eslint-plugin-promise', 'eslint-plugin-standard', 'extract-text-webpack-plugin', 'file-loader', 'friendly-errors-webpack-plugin', 'highlight.js', 'html-webpack-plugin', 'less', 'less-loader', 'marked', 'optimize-css-assets-webpack-plugin', 'style-loader', 'url-loader', 'vue', 'vue-loader', 'vue-router', 'vue-style-loader', 'vue-template-compiler', 'webpack', 'webpack-dev-server', 'webpack-merge']","{'added': [], 'removed': []}","{'added': [], 'removed': []}"
