language,stars
Astro,"154,0"
C#,"2685,8333333333335"
C++,"37135,75"
CSS,"2413,2631578947367"
Clojure,"5421,0"
CoffeeScript,"3492,0"
Dart,"17706,0"
EJS,"1295,0"
Elm,"923,0"
Go,"862,0"
HTML,"3062,3714285714286"
Handlebars,"1386,25"
Haxe,"160,0"
Java,"1825,7272727272727"
JavaScript,"2669,737068965517"
Jupyter Notebook,"146,0"
Kotlin,"207,5"
Less,"14606,0"
Liquid,"115,0"
MDX,"10344,6"
Objective-C,"283,4"
Objective-C++,"851,0"
PHP,"1817,6923076923076"
PureScript,"1532,0"
Rust,"9435,5"
SCSS,"662,4444444444445"
Shell,"20546,0"
Solidity,"833,0"
Svelte,"1506,0"
Swift,"5209,333333333333"
Twig,"293,0"
TypeScript,"4691,2"
Vue,"5216,901960784314"
