name,description,stars,language,forks,url,created_at,updated_at,open_issues,default_branch,contributors_count,commits_count,topics,watchers,size,has_wiki,has_projects,has_issues,has_pages,releases_count,language_detected
terkelg/awesome-creative-coding,"Creative Coding: Generative Art, Data visualization, Interaction Design, Resources.",12822,HTML,872,https://github.com/terkelg/awesome-creative-coding,2016-11-01 23:50:27+00:00,2024-10-12 12:11:05+00:00,4,main,79,410,"['awesome', 'creative-coding', 'interaction-design', 'information-visualization', 'list', 'graphics-programming', 'awesome-list', 'generative-art', 'data-visualization', '3d-graphics', 'webgl', 'art', 'design', 'shaders', 'resources', 'computer-graphics', 'programming-graphics']",12822,762,True,False,True,False,0,en
IBAnimatable/IBAnimatable,"Design and prototype customized UI, interaction, navigation, transition and animation for App Store ready Apps in Interface Builder with IBAnimatable.",8673,Swift,780,https://github.com/IBAnimatable/IBAnimatable,2015-11-17 23:55:21+00:00,2024-10-12 12:24:40+00:00,49,master,36,2198,"['interface-builder', 'animation', 'transition-animation', 'swift', 'ui-components', 'uikit', 'ios', 'prototyping', 'protocol-oriented']",8673,26794,True,True,True,False,29,en
orkestral/venom,"Venom is a high-performance system developed with JavaScript to create a bot for WhatsApp, support for creating any interaction, such as customer service, media sending, sentence recognition based on artificial intelligence and all types of design architecture for WhatsApp.",6067,JavaScript,1192,https://github.com/orkestral/venom,2020-06-08 04:41:41+00:00,2024-10-12 19:32:54+00:00,46,master,64,2334,"['whatsapp', 'sulla', 'bot', 'whatsapp-api', 'whatsapp-bot', 'zap-api', 'zap-bot', 'ai', 'ai-bot', 'bot-javascript', 'bot-typescript', 'framework', 'chatbot', 'chat', 'message', 'puppeteer', 'venom']",6067,16209,True,True,True,True,112,en
AnswerDotAI/RAGatouille,"Easily use and train state of the art late-interaction retrieval methods (ColBERT) in any RAG pipeline. Designed for modularity and ease-of-use, backed by research.",2957,Python,202,https://github.com/AnswerDotAI/RAGatouille,2023-12-29 16:26:42+00:00,2024-10-12 12:11:09+00:00,83,main,25,118,[],2957,12594,False,True,True,False,13,en
trzsz/trzsz-ssh,"trzsz-ssh ( tssh ) is an ssh client designed as a drop-in replacement for the openssh client. It aims to provide complete compatibility with openssh, mirroring all its features, while also offering additional useful features. Such as login prompt, batch login, remember password, automated interaction, trzsz, zmodem(rz/sz), udp mode like mosh, etc.",1685,Go,100,https://github.com/trzsz/trzsz-ssh,2023-05-21 01:28:32+00:00,2024-10-12 09:56:17+00:00,16,main,4,179,"['rz', 'ssh', 'sz', 'tmux', 'trz', 'trzsz', 'tsz', 'ssh-client', 'zmodem', 'openssh', 'openssh-client']",1685,523,True,True,True,False,22,en
vydd/sketch,"A Common Lisp framework for the creation of electronic art, visual design, game prototyping, game making, computer graphics, exploration of human-computer interaction, and more.",1408,Common Lisp,67,https://github.com/vydd/sketch,2015-11-02 03:59:35+00:00,2024-10-12 03:12:25+00:00,33,master,10,287,"['common-lisp', 'sketch', '2d', 'graphics', 'games', 'visual', 'art', 'hci']",1408,1518,True,True,True,False,0,en
youxin11544/MVP-RxJava-Hybride,"This is an Android MVP model good architecture design，Which also inherited the Android architecture and HTML 5 interaction。（这是一个Android MVP模型良好的架构设计,同时也做了Android和HTML 5交互架构，用到了RxJava+Retrofit+MVP+泛型缩减mvp+模板模式+命令模式+观察者模式+管理者模式 +简单工厂模式）",851,Java,255,https://github.com/youxin11544/MVP-RxJava-Hybride,2016-08-11 05:47:34+00:00,2024-09-06 03:16:22+00:00,8,master,2,24,[],851,158,True,True,True,False,0,en
XiaoMi/hiui,"HIUI is a solution that is adequate for the fomulation and implementation of interaction and UI design standard for front, middle and backend.",736,TypeScript,99,https://github.com/XiaoMi/hiui,2018-10-08 10:10:20+00:00,2024-10-08 23:06:19+00:00,89,master,26,6976,"['design-system', 'component-library', 'react', 'react-components', 'design-systems', 'javascript', 'typescript', 'ui-kit', 'ui-library']",736,222561,False,True,True,True,74,en
adrianhajdin/project_crowdfunding,"With a stunning design, connected to the blockchain, metamask pairing, interaction with smart contracts, sending Ethereum through the blockchain network, and writing solidity code.",705,JavaScript,375,https://github.com/adrianhajdin/project_crowdfunding,2022-12-09 11:46:37+00:00,2024-10-09 13:09:28+00:00,65,master,2,9,"['web3', 'blockchain', 'solidity', 'thirdweb']",705,267,True,True,True,False,0,en
samarth-p/College-ERP,"A college management system built using Django framework. It is designed for interactions between students and teachers. Features include attendance, marks and time table.",593,HTML,360,https://github.com/samarth-p/College-ERP,2018-12-18 15:13:46+00:00,2024-10-09 06:02:11+00:00,12,master,4,23,"['django-project', 'django', 'college-project', 'dbms-project', 'college', 'college-students', 'college-management', 'django-application', 'dbms']",593,5666,True,True,True,False,0,en
kardolus/chatgpt-cli,"ChatGPT CLI is a versatile tool for interacting with LLM models through OpenAI and Azure, as well as models from Perplexity AI and Llama. It supports prompts and history tracking for seamless, context-aware interactions. With extensive configuration options, it’s designed for both users and developers to create a customized GPT experience.",513,Go,34,https://github.com/kardolus/chatgpt-cli,2023-05-01 15:40:34+00:00,2024-10-12 16:11:12+00:00,6,main,8,231,"['chatgpt', 'cli', 'go', 'golang', 'gpt', 'language-model', 'openai', 'azure', 'perplexity', 'llama']",513,5024,False,True,True,False,41,en
